Country_Name,Universities_Name,University_Place,Fees,Top_Course,Exams_Score
Uk,"University of Oxford, Oxford","England, Uk","{'Tuition': '₹38.63L/Yr\xa0(£36,620/Yr)', 'Living': '₹16.84L/Yr\xa0(£15,960/Yr)'}",M.Sc Advanced Computer Science,"GRE- 314.0, TOEFL- 100.0, PTE- 66.0"
Usa,"Stanford University, Stanford","California, Usa","{'Tuition': '₹46.55L/Yr\xa0($55,854/Yr)', 'Living': '₹25.51L/Yr\xa0($30,610/Yr)'}",M.B.A,"GMAT- 730.0, TOEFL- 113.0, PTE- 68.0"
Usa,"Massachusetts Institute of Technology, Cambridge","Massachusetts, Usa","{'Tuition': '₹49.62L/Yr\xa0($59,538/Yr)', 'Living': '₹13.66L/Yr\xa0($16,390/Yr)'}",M.B.A,"GRE- 311.0, TOEFL- 90.0"
Usa,"Harvard University, Cambridge","Massachusetts, Usa","{'Tuition': '₹41.79L/Yr\xa0($50,141/Yr)', 'Living': '₹11.04L/Yr\xa0($13,248/Yr)'}",M.S Data Science,"GRE- 292.0, TOEFL- 100.0"
Uk,"University of Cambridge, Cambridge","England, Uk","{'Tuition': '₹34.62L/Yr\xa0(£32,822/Yr)', 'Living': '₹70.7K/Yr\xa0(£670/Yr)'}",M.B.A,"GMAT- 630.0, TOEFL- 110.0"
Usa,"Princeton University, Princeton","New Jersey, Usa","{'Tuition': '₹50.95L/Yr\xa0($61,135/Yr)', 'Living': '₹15.53L/Yr\xa0($18,630/Yr)'}",M.S Computer Science,"GRE- 298.0, TOEFL- 100.0"
Usa,"California Institute of Technology, Pasadena","California, Usa","{'Tuition': '₹50.68L/Yr\xa0($60,816/Yr)', 'Living': '₹12.33L/Yr\xa0($14,796/Yr)'}",M.S Computer Science,"GRE- 296.0, TOEFL- 110.0"
Uk,"Imperial College London, London","England, Uk","{'Tuition': '₹40.8L/Yr\xa0(£38,675/Yr)', 'Living': '₹12.17L/Yr\xa0(£11,537/Yr)'}",M.Sc Finance,"Duolingo- 125.0, TOEFL- 100.0"
Usa,"University of California, Berkeley","California, Usa","{'Tuition': '₹31.8L/Yr\xa0($38,162/Yr)', 'Living': '₹16.81L/Yr\xa0($20,168/Yr)'}",M.S Computer Science,"IELTS- 7.0, PTE- 54.0"
Usa,"Yale University, New Haven","Connecticut, Usa","{'Tuition': '₹47.01L/Yr\xa0($56,410/Yr)', 'Living': '₹21.5L/Yr\xa0($25,793/Yr)'}",M.S Statistics and Data Science,"GRE- 322.0, IELTS- 7.0, PTE- 70.0"
Switzerland,"ETH Zurich, Zurich","Zurich, Switzerland","{'Tuition': '₹1.35L/Yr\xa0(CHf1,460/Yr)', 'Living': '₹1.93L/Yr\xa0(CHf2,085/Yr)'}",M.S Computer Science,"TOEFL- 100.0, PTE- 68.0"
Usa,"University of Chicago, Chicago","Illinois, Usa","{'Tuition': '₹56L/Yr\xa0($67,197/Yr)', 'Living': '₹15.33L/Yr\xa0($18,396/Yr)'}",M.S Analytics,TOEFL- 102.0
Usa,"Johns Hopkins University, Baltimore","Maryland, Usa","{'Tuition': '₹55.14L/Yr\xa0($66,158/Yr)', 'Living': '₹14.7L/Yr\xa0($17,640/Yr)'}",M.B.A Healthcare Organizational ...,"GRE- 314.0, TOEFL- 100.0"
Usa,"University of Pennsylvania, Philadelphia","Pennsylvania, Usa","{'Tuition': '₹44.79L/Yr\xa0($53,739/Yr)', 'Living': '₹14.91L/Yr\xa0($17,888/Yr)'}",M.S Engineering - Data Science,"Duolingo- 135.0, TOEFL- 100.0"
Usa,"Columbia University, New York City","New York, Usa","{'Tuition': '₹41.13L/Yr\xa0($49,352/Yr)', 'Living': '₹8.68L/Yr\xa0($10,416/Yr)'}",M.S Data Science,"GRE- 326.0, TOEFL- 101.0"
