,Country,Universities Names,University Place,Tuition Fees,Living Fees,Top Course,Exam Score
0, Uk,"University of Oxford, Oxford","England, Uk",₹38L/Yr,₹16L/Yr,M.Sc Advanced Computer Science,"['GRE - 314', 'TOEFL - 100', 'PTE - 66']"
1, Usa,"Stanford University, Stanford","California, Usa",₹40L/Yr,₹25L/Yr,M.B.A,"['GMAT - 730', 'TOEFL - 113', 'PTE - 68']"
2, Usa,"Massachusetts Institute of Technology, Cambridge","Massachusetts, Usa",₹54L/Yr,₹13L/Yr,M.B.A,"['GRE - 311', 'TOEFL - 90']"
3, Usa,"Harvard University, Cambridge","Massachusetts, Usa",₹43L/Yr,₹11L/Yr,M.S Data Science,"['GRE - 292', 'TOEFL - 100']"
4, Uk,"University of Cambridge, Cambridge","England, Uk",₹45L/Yr,₹70K/Yr,M.B.A,"['GMAT - 630', 'TOEFL - 110']"
5, Usa,"Princeton University, Princeton","New Jersey, Usa",₹57L/Yr,₹15L/Yr,M.S Computer Science,"['GRE - 298', 'TOEFL - 100']"
6, Usa,"California Institute of Technology, Pasadena","California, Usa",₹51L/Yr,₹12L/Yr,M.S Computer Science,"['GRE - 296', 'TOEFL - 110']"
7, Uk,"Imperial College London, London","England, Uk",₹40L/Yr,₹12L/Yr,M.Sc Finance,"['Duolingo - 125', 'TOEFL - 100']"
8, Usa,"University of California, Berkeley","California, Usa",₹33L/Yr,₹16L/Yr,M.S Computer Science,"['IELTS - 7', 'PTE - 54']"
9, Usa,"Yale University, New Haven","Connecticut, Usa",₹51L/Yr,₹21L/Yr,M.S Statistics and Data Science,"['GRE - 322', 'IELTS - 7', 'PTE - 70']"
10, Switzerland,"ETH Zurich, Zurich","Zurich, Switzerland",₹1L/Yr,₹1L/Yr,M.S Computer Science,"['TOEFL - 100', 'PTE - 68']"
11, Usa,"University of Chicago, Chicago","Illinois, Usa",₹58L/Yr,₹15L/Yr,M.S Analytics,['TOEFL - 102']
12, Usa,"Johns Hopkins University, Baltimore","Maryland, Usa",₹59L/Yr,₹14L/Yr,M.B.A Healthcare Organizational ...,"['GRE - 314', 'TOEFL - 100']"
13, Usa,"University of Pennsylvania, Philadelphia","Pennsylvania, Usa",₹50L/Yr,₹14L/Yr,M.S Engineering - Data Science,"['Duolingo - 135', 'TOEFL - 100']"
14, Usa,"Columbia University, New York City","New York, Usa",₹41L/Yr,₹8L/Yr,M.S Data Science,"['GRE - 326', 'TOEFL - 101']"
15, Usa,"University of California, Los Angeles","California, Usa",₹37L/Yr,₹14L/Yr,M.S Computer Science,"['GRE - 315', 'IELTS - 7']"
16, Singapore,"National University of Singapore, Singapore","Singapore, Singapore",₹20L/Yr,₹2L/Yr,M.S Data Science and Machine Lea...,"['TOEFL - 85', 'PTE - 62']"
17, Usa,"Cornell University, Ithaca","New York, Usa",₹45L/Yr,₹8L/Yr,M.B.A,"['GMAT - 710', 'IELTS - 7']"
18, Canada,"University of Toronto, Toronto","Ontario, Canada",₹35L/Yr,₹13L/Yr,M.S Computer Science,['TOEFL - 93']
19, Uk,"University College London, London","England, Uk",₹33L/Yr,₹18L/Yr,M.B.A,"['Duolingo - 115', 'IELTS - 6.5', 'PTE - 75']"
20, Usa,"University of Michigan, Ann Arbor","Michigan, Usa",₹47L/Yr,₹9L/Yr,M.S Data Science,['IELTS - 6.5']
21, Usa,"Carnegie Mellon University, Pittsburgh","Pennsylvania, Usa",₹48L/Yr,₹11L/Yr,M.S Computer Science,['IELTS - 7.5']
22, Usa,"University of Washington, Seattle","Washington, Usa",₹32L/Yr,₹10L/Yr,M.S Data Science,"['GRE - 307', 'TOEFL - 106', 'PTE - 61']"
23, Usa,"Duke University, Durham","North Carolina, Usa",₹53L/Yr,₹14L/Yr,Master Interdisciplinary Data Sc...,"['Duolingo - 115', 'IELTS - 7']"
24, Usa,"New York University, New York City","New York, Usa",₹54L/Yr,₹7L/Yr,M.S Data Science,['TOEFL - 100']
25, Usa,"Northwestern University, Evanston","Illinois, Usa",₹46L/Yr,₹13L/Yr,M.S Project Management,['IELTS - 7.0']
