Question No.,Question,Option(A),Option(B),Option(C),Option(D),Answer
1,Which of the following is the primary fuel for nuclear fission reactors?,Uranium-238,Plutonium-239,Uranium-235,Thorium-232,C
2,What is the derivative of sin(x) with respect to x?,cos(x),−sin(x),−cos(x),tan(x),A
3,"If the sequence ��=�2+�+1an​=n2+n+1 is an arithmetic sequence, what is n?",1,2,0,None of these,D
4,Which compound exhibits sp2 hybridization?,Methane,Ethene,Ammonia,Water,B
5,Which gas is most commonly used in the floatation process in mining?,Hydrogen,Nitrogen,Oxygen,Carbon dioxide,D
6,The sum of the first 50 natural numbers is:,1250,1275,1300,1325,B
7,What is the molecular formula of Benzene?,C6H6,C6H12,C6H14,C6H10,A
8,"For a parallel plate capacitor with air between the plates, if the distance between the plates is halved, the capacitance will:",Double,Remain the same,Half,Quadruple,A
9,The number of valence electrons in an atom of Chlorine is:,5,7,8,10,B
10,Which of the following is NOT a colligative property?,Boiling point elevation,Freezing point depression,Viscosity,Osmotic pressure,C
11,The primary quantum number indicates which of the following?,The shape of the orbital,he size of the orbital,The orientation of the orbital,The spin of the electron,B
12,Which of these is an example of a heterogeneous mixture?,Salt Water,Air,Sand and iron fillings,Vinegar,C
13,The pH of a 0.01 M HCl solution is:,1,2,3,4,B
14,Which of these compounds is a strong electrolyte?,Acetic acid,Sodium chloride,Ethanol,Sugar,B
15,The maximum number of electrons that can occupy the third shell of an atom is:,2,8,18,32,C
16,Which law states that the volume of a given mass of gas held at constant pressure is directly proportional to its Kelvin temperature?,Boyle's Law,Charles' Law,Gay-Lussac's Law,Avogadro's Law,B
17,The angle between the two sp2 hybrid orbitals is:,90 degrees,109.5 degrees,120 degrees,180 degrees,C
18,What is the product of the reaction between sodium metal and water?,Sodium hydroxide and hydrogen gas,Sodium chloride and water,Sodium carbonate and oxygen gas,Sodium bicarbonate and hydrogen gas,A
19,A solution that resists changes in pH when small quantities of an acid or a base are added is called:,A buffer,A catalyst,A solvent,A reagent,A
20,"The process by which plants make their food using sunlight, water, and carbon dioxide is called:",Respiration,Photosynthesis,Transpiration,Fermentation,B
21,Which mathematical concept is used to find the shortest path in networking or graph theory?,Integration,Differentiation,Dijkstra's algorithm,Pythagorean theorem,C
22,What is the molecular geometry of water (H2O)?,Linear,Bent,Tetrahedral,Octahedral,B
23,The electric resistance of a typical conducting wire is most affected by:,The wire's color,The wire's length and cross-sectional area,The wire's material only,The temperature of the environment only,B
24,Which force is responsible for the binding of protons and neutrons in a nucleus?,Gravitational force,Electromagnetic force,Strong nuclear force,Weak nuclear force,C
25,"If a mirror produces an image that is virtual, upright, and enlarged, the mirror is most likely:",Plane,Convex,Concave,Sperical,C
26,The primary purpose of the stomata in plant leaves is to:,Absorb light,Exchange gases,Capture insects,Store nutrients,B
27,What is the main product in the Fischer esterification reaction?,An Alcohol,An ester,An acid,A ketone,B
28,"A small toy starts moving from the position of rest under a constant acceleration. If it travels a distance of 10m in t s, the distance travelled by the toy in the next t s will be:",10,20,30,40,A
29,"If temperature of a liquid is increased, choose the correct option regarding change in its surface tension and viscosity.",Surface tension decreases while viscosity increases,Surface tension increases while viscosity decreases,Both increases,Both decreases,D
30,In the depression of freezing point experiment ,Vapour pressure of the solution is less than that of pure solvent,Vapour pressure of the solution is more than that of pure solvent ,Only solute molecules solidify at the freezing point ,Only solvent molecules solidify at the freezing point ,A
31,In which of the following pairs of elements electron gain enthalpy difference is highest?,"Cl, Ar","Cl, Ne","F, Ar","F, Ne",B
