,Country,Universities Names,University Place,Tuition Fees
1, Canada,"University of Toronto, Toronto","Ontario, Canada",₹35.35L/Yr
2, Canada,"The University of British Columbia, Vancouver","British Columbia, Canada",₹20.82L/Yr
3, Canada,"McGill University, Montreal","Quebec, Canada",₹20.1L/Yr
4, Canada,"McMaster University, Hamilton","Ontario, Canada",₹25.06L/Yr
5, Canada,"University of Alberta, Edmonton","Alberta, Canada",₹16.9L/Yr
6, Canada,"University of Montreal, Montreal","Quebec, Canada",₹13.18L/Yr
7, Canada,"University of Waterloo, Waterloo","Ontario, Canada",₹29.08L/Yr
8, Canada,"University of Ottawa, Ottawa","Ontario, Canada",₹14.5L/Yr
9, Canada,"University of Calgary, Calgary","Alberta, Canada",₹18.37L/Yr
10, Canada,"Western University, London","Ontario, Canada",₹23.38L/Yr
11, Canada,"Queen's University, Kingston","Ontario, Canada",₹18.74L/Yr
12, Canada,"Simon Fraser University, Burnaby","British Columbia, Canada",₹26.9L/Yr
13, Canada,"Laval University, Quebec City","Quebec, Canada",₹13.32L/Yr
14, Canada,"Dalhousie University, Halifax","Nova Scotia, Canada",₹18.46L/Yr
15, Canada,"University of Manitoba, Winnipeg","Manitoba, Canada",₹9.96L/Yr
16, Canada,"University of Saskatchewan, Saskatoon","Saskatchewan, Canada",₹14.39L/Yr
17, Canada,"University of Victoria, Victoria","British Columbia, Canada",₹12.25L/Yr
18, Canada,"York University, Toronto","Ontario, Canada",₹23.45L/Yr
19, Canada,"University of Quebec at Montreal, Montreal","Quebec, Canada",₹10.92L/Yr
20, Canada,"University of Guelph, Guelph","Ontario, Canada",₹15.24L/Yr
21, Canada,"Concordia University, Montreal","Quebec, Canada",₹14.41L/Yr
22, Canada,"University of Windsor, Windsor","Ontario, Canada",₹15.13L/Yr
23, Canada,"Toronto Metropolitan University, Toronto","Ontario, Canada",₹21.91L/Yr
24, Canada,"University of New Brunswick (Fredericton), Fredericton","Newbrunswick, Canada",₹8.56L/Yr
25, Canada,"University of Ontario Institute of Technology, Oshawa","Ontario, Canada",₹18.79L/Yr
26, Canada,"Lakehead University, Thunder Bay","Ontario, Canada",₹16.94L/Yr
27, Canada,"University of Northern British Columbia, Prince George","British Columbia, Canada",₹12.74L/Yr
28, Canada,"University of Lethbridge, Lethbridge","Alberta, Canada",₹12.04L/Yr
29, Canada,"Memorial University of Newfoundland, St. John's","Newfoundland & Labrador, Canada",₹6.28L/Yr
30, Canada,"Carleton University, Ottawa","Ontario, Canada",₹19.91L/Yr
31, Canada,"University of Sherbrooke, Sherbrooke","Quebec, Canada",₹15.2L/Yr
32, Canada,"University of Regina, Regina","Saskatchewan, Canada",₹27.51L/Yr
33, Canada,"Vancouver Island University, Nanaimo","British Columbia, Canada",₹15.68L/Yr
34, Canada,"Brock University, St. Catharines","Ontario, Canada",₹18.43L/Yr
35, Canada,"St. Thomas University, Fredericton","Newbrunswick, Canada",₹11.62L/Yr
36, Canada,"Wilfrid Laurier University, Waterloo","Ontario, Canada",₹16.03L/Yr
