College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
Canada,"Kwantlen Polytechnic University, Surrey","British Columbia, Canada","{'Tuition Fees': '₹14.01L/Yr\xa0(CA$22,863/Yr)', 'Living Fees': '₹1.53L/Yr\xa0(CA$2,498/Yr)'}",B.Tech Information Technology,"Duolingo- 110.0, IELTS- 6.5, PTE- 61.0","Kwantlen Polytechnic University [KPU] Ranking, Programs, Admission Process & Living Cost",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_31_15-18:34_images.png?h=90&w=90&mode=stretch,"{'Location': 'Surrey, British Columbia', 'School type': 'University', 'Established Year': 'Estd1981'}",8.2,"Kwantlen Polytechnic University, established in 1981 by the government of British Columbia. It is a public type university. The university is known for its courses such as Bachelor’s degree, Diplomas, Certificates and Citation in more than 120 programs.","[{'Program Type': 'Graduate Diploma Global Business Management (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Aug 2024)', 'Fees': 'INR 14 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 88.0, PTE: 61.0, Duolingo: 110.0'}, {'Program Type': 'Diploma Operations and Supply Chain Management (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Aug 2024)', 'Fees': 'INR 14 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 88.0, PTE: 61.0, Duolingo: 110.0'}, {'Program Type': 'B.Tech Information Technology (4 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Aug 2024)', 'Fees': 'INR 14 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 88.0, PTE: 61.0, Duolingo: 110.0'}, {'Program Type': 'Diploma Computer Information Systems (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Aug 2024)', 'Fees': 'INR 14 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 88.0, PTE: 61.0, Duolingo: 110.0'}, {'Program Type': 'Diploma Human Resources Management (2 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Aug 2024)', 'Fees': 'INR 14 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 88.0, PTE: 61.0, Duolingo: 110.0'}, {'Program Type': 'B.B.A Marketing Management (4 years)', 'Important Dates': 'Application Deadline For Spring 2025 Intake (1st Aug 2024)', 'Fees': 'INR 14 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 88.0, PTE: 61.0, Duolingo: 110.0'}]","[{'Course Name': 'Post Baccalaureate Diploma Human Resources Management', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Aug, 2024', 'Application Fees': 'INR 14 L/Yr'}, {'Course Name': 'Graduate Diploma Global Business Management', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Aug, 2024', 'Application Fees': 'INR 14 L/Yr'}]"
Canada,"Lakehead University, Orilla Campus, Orillia","Ontario, Canada","{'Tuition Fees': '₹18.32L/Yr\xa0(CA$29,899/Yr)', 'Living Fees': '₹2.34L/Yr\xa0(CA$3,815/Yr)'}",B.S Computer Science,"Duolingo- 110.0, TOEFL- 85.0, PTE- 58.0","Lakehead University Orilia: Rankings, Campus, Courses, Admissions, Cost, Scholarships, Placements, & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_32_18-16:43_lakehead.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Orillia, Ontario', 'School type': 'Campus', 'Established Year': 'Estd2006'}",,"Lakehead University is a public research institute in Canada, established in 1965. Lakehead University campus houses over 8,600 students including over 1500 international students representing 80+ countries. You can pursue over 85 undergraduate and graduate programs in Lakehead University.",,
Canada,"Luther College, Regina","Saskatchewan, Canada","{'Tuition Fees': '₹19.67L/Yr\xa0(CA$32,091/Yr)', 'Living Fees': '₹6.12L/Yr\xa0(CA$9,980/Yr)'}",B.S Medical Laboratory Science,TOEFL- 83.0,"Luther College: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_35_22-18:04_logo-LUTHER-COLLEGE---UNIVERSITY-OF-REGINA---BLUE-Moo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Regina, Saskatchewan', 'School type': 'College', 'Established Year': 'Estd1971'}",,,"[{'Program Type': 'Diploma Computer Science (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Aug 2024)', 'Fees': 'INR 20.2 L/Yr', 'Exams Score': 'TOEFL: 83.0, IELTS: 6.5, MELAB: 85.0'}, {'Program Type': 'Certificate Health Studies (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Aug 2024)', 'Fees': 'INR 19.1 L/Yr', 'Exams Score': 'TOEFL: 83.0, IELTS: 6.5, MELAB: 85.0'}, {'Program Type': 'Certificate International Studies (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Aug 2024)', 'Fees': 'INR 19.1 L/Yr', 'Exams Score': 'TOEFL: 83.0, IELTS: 6.5, MELAB: 85.0'}, {'Program Type': 'B.S Medical Laboratory Science (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Aug 2024)', 'Fees': 'INR 19.5 L/Yr', 'Exams Score': 'TOEFL: 83.0, IELTS: 6.5, MELAB: 85.0'}, {'Program Type': 'B.A Geographic Information Science (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Aug 2024)', 'Fees': 'INR 18.7 L/Yr', 'Exams Score': 'TOEFL: 83.0, IELTS: 6.5, MELAB: 85.0'}, {'Program Type': 'Certificate Animation (2 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th Aug 2024)', 'Fees': 'INR 19.5 L/Yr', 'Exams Score': 'TOEFL: 83.0, IELTS: 6.5, MELAB: 85.0'}]","[{'Course Name': 'Diploma Computer Science', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Aug, 2024', 'Application Fees': 'INR 20.2 L/Yr'}, {'Course Name': 'Certificate Animation', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Aug, 2024', 'Application Fees': 'INR 19.5 L/Yr'}]"
Canada,"MacEwan University, Edmonton","Alberta, Canada","{'Tuition Fees': '₹15L/Yr\xa0(CA$24,480/Yr)', 'Living Fees': '₹6.52L/Yr\xa0(CA$10,640/Yr)'}",B.S Computer Science,"Duolingo- 115.0, IELTS- 6.5, PTE- 59.0","MacEwan University Rankings, Courses, Fees, Admission & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_37_15-18:24_images.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Edmonton, Alberta', 'School type': 'University', 'Established Year': 'Estd1971'}",6.8,,,"[{'Course Name': 'Bachelor of Science in Nursing [B.S.N]', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15 L/Yr'}, {'Course Name': 'Diploma Physical Therapist Assistant and Occupational Therapist Assistant', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15 L/Yr'}]"
Canada,"Marine Institute of Memorial University of Newfoundland, St. John's","Newfoundland & Labrador, Canada","{'Tuition Fees': '₹7.77L/Yr\xa0(CA$12,681/Yr)', 'Living Fees': '₹4.37L/Yr\xa0(CA$7,139/Yr)'}",B.Tech Marine Environmental Tech...,TOEFL- 79.0,"Marine Institute of Memorial University of Newfoundland: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_38_05-15:33_mi-twitter-logo_400x400.jpeg?h=90&w=90&mode=stretch,"{'Location': ""St. John's, Newfoundland & Labrador"", 'School type': 'Institute', 'Established Year': 'Estd1964'}",,The Marine Institute of the Memorial University of Newfoundland is a public university in Canada that provides programs in marine and ocean engineering. The college is affiliated with the Memorial University of Newfoundland. There are three schools under which the Marine institute provides several programs. The institute is one of the top institutes in the field of marine research and education. The small size of the classes at the institute provides learning advantages to the students.,"[{'Program Type': 'Ph.D Fisheries Science (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (15th May 2024)', 'Fees': 'INR 11 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5'}, {'Program Type': 'B.A Maritime Studies - Martitime Management (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (30th Jun 2024)', 'Fees': 'INR 12.7 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5'}, {'Program Type': 'B.A Maritime Studies - Safety Management (4 years)', 'Important Dates': 'Application Deadline For Fall Intake (30th Jun 2024)', 'Fees': 'INR 12.7 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5'}]","[{'Course Name': 'Diploma Technology - Marine Engineering', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 3.9 L/Yr'}, {'Course Name': 'Diploma Technician - Remotely Operated Vehicles Operator', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 3.9 L/Yr'}]"
Canada,"Mount Allison University, Sackville","Newbrunswick, Canada","{'Tuition Fees': '₹12.38L/Yr\xa0(CA$20,210/Yr)', 'Living Fees': '₹7.87L/Yr\xa0(CA$12,838/Yr)'}",B.S Aviation,"Duolingo- 110.0, TOEFL- 90.0, PTE- 60.0","Mount Allison University [MtA]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_42_28-12:02_txfbqA7v_400x400.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Sackville, NewBrunswick', 'School type': 'University', 'Established Year': 'Estd1839'}",,"Mount Allison University, a reputable liberal arts and science university has been consistently ranked as the Canada’s #1 undergraduate university. Home to over 2300 students from all over the world, the university is known for combining world class educational experience with hands-on professional learning opportunities. Presently, international students constitute around 12% of the total student population enrolled in over 50 undergraduate programs offered at Mount Allison University. ",,"[{'Course Name': 'Bachelor of Science [B.S] Aviation', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 12.4 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] Computer Science', 'Course Duration': '4 years', 'Course Degree': 'Honours, On Campus', 'Course Language': 'English', 'Application Fees': 'INR 12.4 L/Yr'}]"
Canada,"Mount Royal University, Calgary","Alberta, Canada","{'Tuition Fees': '₹15.75L/Yr\xa0(CA$25,698/Yr)', 'Living Fees': '₹5L/Yr\xa0(CA$8,160/Yr)'}",B.S Computer Science,"TOEFL- 83.0, PTE- 58.0","Mount Royal University: Courses, Campus, Admissions 2024-25, Cost, Scholarships, Placements, & Alumni",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_43_28-12:58_mru_logo_png.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Calgary, Alberta', 'School type': 'University', 'Established Year': 'Estd1910'}",8.3,"Mount Royal University is a public university, established in 1910. Mount Royal University campus is located in Calgary, Alberta, Canada. At Mount Royal University, there are 15,573 students, out of which 3.3% are international students. Mount Royal University offers 12 degrees and 36 major courses across multiple schools and faculties.",,"[{'Course Name': 'Diploma Aviation', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15.7 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] Computer Science', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15.7 L/Yr'}]"
Canada,"Mount Saint Vincent University, Halifax","Nova Scotia, Canada","{'Tuition Fees': '₹11.26L/Yr\xa0(CA$18,372/Yr)', 'Living Fees': '₹4.97L/Yr\xa0(CA$8,117/Yr)'}",M.Ed,"IELTS- 7.0, PTE- 63.0","Mount Saint Vincent University [Msvu]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_44_18-16:22_Capture.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Halifax, Nova Scotia', 'School type': 'University', 'Established Year': 'Estd1873'}",6.8,Mount Saint Vincent University has been featured in the lists of a few ranking bodies. The 2022 rankings of MSVU are as follows:,"[{'Program Type': 'M.Ed (2 years)', 'Important Dates': 'Application Deadline For January 2024 Intake (1st Nov 2024)', 'Fees': 'INR 7.9 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 93.0, PTE: 63.0'}, {'Program Type': 'Diploma Business Administration (1 year)', 'Important Dates': 'Application Deadline For September 2024 Intake (1st May 2024)\nApplication Deadline For January 2024 Intake (1st Aug 2024)', 'Fees': 'INR 12.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 92.0, PTE: 63.0'}, {'Program Type': 'B.S Computer Science (4 years)', 'Important Dates': 'Application Deadline For September 2024 Intake (1st May 2024)\nApplication Deadline For January 2024 Intake (1st Aug 2024)', 'Fees': 'INR 12.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 92.0, PTE: 63.0'}, {'Program Type': 'Diploma Tourism and Hospitality Management (1 year)', 'Important Dates': 'Application Deadline For September 2024 Intake (1st May 2024)\nApplication Deadline For January 2024 Intake (1st Aug 2024)', 'Fees': 'INR 12.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 92.0, PTE: 63.0'}, {'Program Type': 'B.A Tourism and Hospitality Management (4 years)', 'Important Dates': 'Application Deadline For September 2024 Intake (1st May 2024)\nApplication Deadline For January 2024 Intake (1st Aug 2024)', 'Fees': 'INR 12.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 92.0, PTE: 63.0'}, {'Program Type': 'B.Ed Elementary/Secondary (2 years)', 'Important Dates': 'Application Deadline For September 2024 Intake (1st May 2024)\nApplication Deadline For January 2024 Intake (1st Aug 2024)', 'Fees': 'INR 12.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 92.0, PTE: 63.0'}]","[{'Course Name': 'Diploma Business Administration', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 May, 2024', 'Application Fees': 'INR 12.2 L/Yr'}, {'Course Name': 'Master of Education [M.Ed]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '01 Nov, 2024', 'Application Fees': 'INR 7.9 L/Yr'}]"
Canada,"Nipissing University, North Bay","Ontario, Canada","{'Tuition Fees': '₹16.56L/Yr\xa0(CA$27,025/Yr)'}",M.S Kinesiology,"Duolingo- 115.0, TOEFL- 93.0, PTE- 63.0","Nipissing University [NU]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_45_28-13:27_nipissing-university-1.jpeg?h=90&w=90&mode=stretch,"{'Location': 'North Bay, Ontario', 'School type': 'University', 'Established Year': 'Estd1909'}",7.3,,,"[{'Course Name': 'Bachelor of Science [B.S] Computer Science', 'Course Duration': '4 years', 'Course Degree': 'Honours, On Campus', 'Course Language': 'English', 'Application Fees': 'INR 16.9 L/Yr'}, {'Course Name': 'Bachelor of Science in Nursing [B.S.N]', 'Course Duration': '4 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 16.9 L/Yr'}]"
Canada,"NSCAD University, Halifax","Nova Scotia, Canada",{'Tuition Fees': '₹1.3K/Yr\xa0(CA$21/Yr)'},M.Des,,"NSCAD University [NSCAD] Halifax Courses, Rankings, Admission Criteria, Fees & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_46_21-10:43_87.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Halifax, Nova Scotia', 'School type': 'University', 'Established Year': 'Estd1887'}",,,"[{'Program Type': 'M.Des (2 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 1,287/Yr', 'Exams Score': None}, {'Program Type': 'B.F.A Textiles and Fashion (Major) (4 years)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (1st Oct 2024)\nApplication Deadline For Fall 2025 Intake (1st Mar 2025)', 'Fees': 'INR 1,287/Yr', 'Exams Score': 'TOEFL: 90.0, IELTS: 6.5'}, {'Program Type': 'B.Des Interdisciplinary Design (4 years)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (1st Oct 2024)\nApplication Deadline For Fall 2025 Intake (1st Mar 2025)', 'Fees': 'INR 1,287/Yr', 'Exams Score': 'TOEFL: 90.0, IELTS: 6.5'}, {'Program Type': 'M.F.A Fine Arts (2 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 1,287/Yr', 'Exams Score': None}, {'Program Type': 'B.F.A Drawing, Painting, Printmaking and Sculpture (4 years)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (1st Oct 2024)\nApplication Deadline For Fall 2025 Intake (1st Mar 2025)', 'Fees': 'INR 1,287/Yr', 'Exams Score': 'TOEFL: 90.0, IELTS: 6.5'}, {'Program Type': 'M.A Art Education (2 years)', 'Important Dates': 'Application Deadline For 2025 Intake (15th Jan 2025)', 'Fees': 'INR 1,287/Yr', 'Exams Score': 'TOEFL: 94.0, IELTS: 7.0'}]","[{'Course Name': 'Master of Design [M.Des]', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jan, 2025', 'Application Fees': 'INR 1,287/Yr'}, {'Course Name': 'Master of Fine Arts [M.F.A] Fine Arts', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jan, 2025', 'Application Fees': 'INR 1,287/Yr'}]"
