College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
AUSTRALIA,"Deakin Business School, Melbourne","Victoria, Australia","{'Tuition Fees': '₹19.89L/Yr\xa0(A$36,271/Yr)', 'Living Fees': '₹4.49L/Yr\xa0(A$8,197/Yr)'}",M.P.H,"IELTS- 6.5, PTE- 65.0","Deakin Business School: Rankings, Programs, Admission 2023, Entry Criteria & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2781_06-17:58_ddbs.png?h=90&w=90&mode=stretch,"{'Location': 'Melbourne, Victoria', 'School type': 'School', 'Established Year': 'Estd1974'}",,"Deakin Business School (or DBS) is part of Deakin University in Melbourne and one of the top business schools in Australia. Prospective students are offered bachelor’s and master’s degrees in 24 study areas at DBS. The school is best known for its full-time MBA program which holds a 5 star rating from GMAA (Graduate Management Association Of Australia). Along with MBA, Deakin Business School offers a PhD in business and research opportunities through its 4 research centres and 8 units. ",,
AUSTRALIA,"The University of Sydney Business School, Sydney","New South Wales, Australia","{'Tuition Fees': '₹27.27L/Yr\xa0(A$49,728/Yr)', 'Living Fees': '₹9.06L/Yr\xa0(A$16,518/Yr)'}",M.B.A,"GMAT- 630.0, IELTS- 7.0, PTE- 68.0","The University of Sydney Business School: Rankings, Courses, Admissions 2023, Fees & Placements",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2782_04-10:35_logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Sydney, New South Wales', 'School type': 'School', 'Established Year': 'Estd2011'}",,"The University of Sydney Business School is a public institute located in New South Wales, Sydney, Australia. It offers UG, PG, research, and executive programs in 10 areas of business studies that are ranked globally for their quality and research trends. It is the only business school in Australia to be crowned with triple accreditation- AACSB, AMBA, and EQUIS. With an acceptance rate of 30%, the university is very selective in the admission of students. Approximately 12,500 students are enrolled in its various business programs among which more than 50% are international students.","[{'Program Type': 'M.Com Data Analytics for Business (18 months)', 'Important Dates': 'Application Deadline For 2024 Semester 2 Intake (25th Jun 2024)', 'Fees': 'INR 29.6 L/Yr', 'Exams Score': 'IELTS: 7.0, GMAT: 630.0'}]",
AUSTRALIA,"Sydney Business School, University of Wollongong, Wollongong","New South Wales, Australia","{'Tuition Fees': '₹14.04L/Yr\xa0(A$25,607/Yr)', 'Living Fees': '₹8.42L/Yr\xa0(A$15,365/Yr)'}",M.B.A,TOEFL- 86.0,"Sydney Business School, University of Wollongong [SBS] Australia, Courses, Rankings, Admission Criteria, Fees & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2783_11-13:00_sy-bus-sch.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Wollongong, New South Wales', 'School type': 'School', 'Established Year': 'Estd1997'}",,"Sydney Business School, ranked among top 200 universities worldwide, has two campuses in Sydney and Wollongong. The school is home to the Faculty of Business and Law of the University of Wollongong (UOW), offering graduate diplomas, certificates and master's degrees for over 3,000 students every year. Signatory to the Principles of Responsible Management Education (PRME), SBS offers high quality education in Australia along with research and thought leadership using real world examples.","[{'Program Type': 'Graduate Certificate Professional Accounting (1 year)', 'Important Dates': 'Application Deadline (29th Sep 2024)', 'Fees': 'INR 8.8 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0, PTE: 62.0'}, {'Program Type': 'Graduate Certificate Applied Finance (1 year)', 'Important Dates': 'Application Deadline (29th Sep 2024)', 'Fees': 'INR 9.2 L/Yr', 'Exams Score': 'TOEFL: 70.0, IELTS: 6.0, PTE: 62.0'}, {'Program Type': 'M.A Professional Accounting (Advance) (2 years)', 'Important Dates': 'Application Deadline (30th Jun 2024)', 'Fees': 'INR 13.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 86.0, PTE: 62.0'}]",
AUSTRALIA,"Curtin Business School, Perth","Western Australia, Australia","{'Tuition Fees': '₹17.22L/Yr\xa0(A$31,399/Yr)'}",M.B.A,"GMAT- 550.0, TOEFL- 79.0, PTE- 58.0","Curtin Business School: Programs, Rankings, Admissions 2023, Fees & Placements",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2784_07-15:50_download.png?h=90&w=90&mode=stretch,"{'Location': 'Perth, Western Australia', 'School type': 'School', 'Established Year': 'Estd1966'}",,"Ranking among the top 1% universities of the world, Curtin Business School is the only educational institute in Western Australia to hold a five-year accreditation by EQUIS, a triple accreditation by AACSB and an EFMD Accredited MBA program. As part of Curtin University in Perth, Australia, Curtin Business School offers quality education to students from over 50 countries across the globe. Some of the popular programs at Curtin Business School are Accounting and finance, business and management studies, and Economics and Econometrics.","[{'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake Session 2 (4th Jul 2024)\nApplication Deadline For 2025 Intake Session 1 (6th Feb 2025)', 'Fees': 'INR 20.2 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0, GMAT: 550.0'}, {'Program Type': 'M.B.A Digital Marketing (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake Session 2 (4th Jul 2024)\nApplication Deadline For 2025 Intake Session 1 (6th Feb 2025)', 'Fees': 'INR 20.2 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0, GMAT: 550.0'}, {'Program Type': 'M.Fin (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake Session 2 (4th Jul 2024)\nApplication Deadline For 2025 Intake Session 1 (6th Feb 2025)', 'Fees': 'INR 16.9 L/Yr', 'Exams Score': 'IELTS: 6.5, PTE: 60.0, TOEFL: 79.0'}, {'Program Type': 'M.S Marketing (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake Session 2 (4th Jul 2024)\nApplication Deadline For 2025 Intake Session 1 (6th Feb 2025)', 'Fees': 'INR 16.9 L/Yr', 'Exams Score': 'IELTS: 6.5, PTE: 60.0, TOEFL: 79.0'}, {'Program Type': 'B.Com Finance and Management (3 years)', 'Important Dates': 'Application Deadline For 2024 Intake Session 2 (4th Jul 2024)\nApplication Deadline For 2025 Intake Session 1 (6th Feb 2025)', 'Fees': 'INR 16.5 L/Yr', 'Exams Score': 'IELTS: 6.0, TOEFL: 79.0, PTE: 58.0'}, {'Program Type': 'M.B.A Leadership (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake Session 2 (4th Jul 2024)\nApplication Deadline For 2025 Intake Session 1 (6th Feb 2025)', 'Fees': 'INR 16.9 L/Yr', 'Exams Score': 'TOEFL: 79.0, IELTS: 6.5, PTE: 58.0, GMAT: 550.0'}]",
AUSTRALIA,"La Trobe Business School, Melbourne","Victoria, Australia","{'Tuition Fees': '₹20.9L/Yr\xa0(A$38,111/Yr)', 'Living Fees': '₹3.84L/Yr\xa0(A$7,000/Yr)'}",M.B.A,"IELTS- 6.5, PTE- 56.0","La Trobe Business School [LBS], Australia: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2785_11-18:11_logo.png?h=90&w=90&mode=stretch,"{'Location': 'Melbourne, Victoria', 'School type': 'School', 'Established Year': 'Estd1964'}",,"Established in the year 1967, the La Trobe Business School is a public institution in Victoria, Australia with a history of 50 years in the field of education. The School accredited by AACSB is a popular choice for higher education in Australia. Moreover, the La Trobe Business School has also ranked 2nd in Australia for Masters in Business Analytics by the QS World University Ranking. Its programs in banking, finance and investment were rated ""Well above the world standard"", by the ERA Rankings.",,
AUSTRALIA,"School of Business, University of Western Australia, Perth","Western Australia, Australia","{'Tuition Fees': '₹23.26L/Yr\xa0(A$42,426/Yr)'}",M.B.A,"GMAT- 550.0, TOEFL- 100.0, PTE- 64.0","University of Western Australia [UWA] Business School: Ranking, Programs, Application Deadlines, Admission 2021, Fees, Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2786_11-16:37_unnamed.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Perth, Western Australia', 'School type': 'School', 'Established Year': 'Estd1911'}",,"University of Western Australia (UWA) Business School is accredited both by Association to Advance Collegiate Schools of Business (AACSB) and European Quality Improvement System (EQUIS). UWA has earned a five-star rating by Good Universities Guide 2021 for student demand, student: faculty ratio, undergraduate teaching qualities and to pursue Masters in Australia. It has also been ranked 1st for MBA in Western Australia for median starting salary in Business and Management by QILT. The reputed B school in Australia has more than 30+ corporate supporters like KPMG, Chevron, Bankwest, EY, BHP Billiton, Woodside, and many more.",,
AUSTRALIA,"College of Business and Economics, Australian National University, Canberra","Australian Capital Territory , Australia","{'Tuition Fees': '₹25.74L/Yr\xa0(A$46,951/Yr)'}",M.B.A,"GMAT- 600.0, IELTS- 6.5, PTE- 64.0","College of Business and Economics, ANU: Fees, Admission Process, Courses, Ranking & Scholarships for International Students",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2788_07-14:06_ANU_CBE_logo_1v1.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Canberra, Australian Capital Territory', 'School type': 'Faculty', 'Established Year': 'Estd1946'}",,"College of Business and Economics, Australian National University is a public institute located in Canberra, Australia offering higher education in Australia. It was established in 1946 and ever since, it has been providing theoretical as well as practical knowledge in various study areas. It offers courses pertaining to the fields of business and economics and is significantly contributing to producing future leaders.","[{'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For Semester 2 Intake (3rd Jun 2024)', 'Fees': 'INR 18.1 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 64.0, GMAT: 600.0'}, {'Program Type': 'M.A Marketing Management (2 years)', 'Important Dates': 'Application Deadline For Semester 2 Intake (3rd Jun 2024)', 'Fees': 'INR 26.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 64.0'}, {'Program Type': 'M.Acc (2 years)', 'Important Dates': 'Application Deadline For Semester 2 Intake (3rd Jun 2024)', 'Fees': 'INR 26.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 64.0'}, {'Program Type': 'M.Eco (2 years)', 'Important Dates': 'Application Deadline For Semester 2 Intake (3rd Jun 2024)', 'Fees': 'INR 26.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 64.0'}, {'Program Type': 'M.A Professional Accounting (2 years)', 'Important Dates': 'Application Deadline For Semester 2 Intake (3rd Jun 2024)', 'Fees': 'INR 26.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 64.0'}, {'Program Type': 'M.Fin (2 years)', 'Important Dates': 'Application Deadline For Semester 2 Intake (3rd Jun 2024)', 'Fees': 'INR 26.3 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 80.0, PTE: 64.0'}]",
AUSTRALIA,"Macquarie Graduate School of Management, Sydney","New South Wales, Australia","{'Tuition Fees': '₹23.72L/Yr\xa0(A$43,267/Yr)'}",M.B.A,"IELTS- 7.0, PTE- 66.0",Macquarie Graduate School of Management (MGSM),https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2789_11-14:39_MGSM-New-logo.png?h=90&w=90&mode=stretch,"{'Location': 'Sydney, New South Wales', 'School type': 'School', 'Established Year': 'Estd1969'}",,,"[{'Program Type': 'M.B.A (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake 3 (10th Jun 2024)\nApplication Deadline For 2024 Intake 4 (2nd Sep 2024)\nApplication Deadline For 2025 Intake 1 (22nd Dec 2024)', 'Fees': 'INR 24.4 L/Yr', 'Exams Score': 'IELTS: 7.0, TOEFL: 94.0, PTE: 66.0'}, {'Program Type': 'M.Mgmt (2 years)', 'Important Dates': 'Application Deadline For 2024 Intake 2 (7th Aug 2024)', 'Fees': 'INR 22.4 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 83.0, PTE: 58.0'}]",
AUSTRALIA,"Bond Business School, Gold Coast","Queensland, Australia","{'Tuition Fees': '₹22.37L/Yr\xa0(A$40,800/Yr)', 'Living Fees': '₹1.83L/Yr\xa0(A$3,329/Yr)'}",M.B.A,"GMAT- 600.0, TOEFL- 79.0, PTE- 58.0","Bond Business School, Australia: Top Courses, Fees, Application Procedure and Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2790_11-13:26_bondbusiness-logo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Gold Coast, Queensland', 'School type': 'School', 'Established Year': 'Estd1987'}",,"Bond business school is affiliated to Australia’s prestigious, first private non-profit university that is Bond University with a vision to provide quantitative skills, global business acumen and entrepreneurial flair educational experience.",,
AUSTRALIA,"Victoria Graduate School of Business, Victoria University, Melbourne","Victoria, Australia","{'Tuition Fees': '₹20.62L/Yr\xa0(A$37,600/Yr)'}",M.B.A,"GMAT- 550.0, IELTS- 6.5, PTE- 58.0","Victoria Graduate School of Business [VGSB]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2791_20-16:58_v4.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Melbourne, Victoria', 'School type': 'School', 'Established Year': 'Estd1990'}",,,,
