College_Country_Name,College_Name,College_Place,College_Fees,College_Top_Course,College_Exam_Score,College_Heading,College_Logo,Upper_Section_Details,College_Rating,College_Summary,Fees_and_Eligibility,Courses_Details
GERMANY,"University of Erfurt, Erfurt","Thuringia, Germany","{'Tuition Fees': '₹2.9L/Yr\xa0(€3,200/Yr)'}","M.A Economics, Law and Social Sc...",IELTS- 6.5,"University of Erfurt: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2447_19-18:03_erfurtlogo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Erfurt, Thuringia', 'School type': 'University', 'Established Year': 'Estd1379'}",,"One of the oldest universities in Germany, the University of Erfurt was founded in 1379 and refounded in 1994. It is a public university located in Erfurt, the capital of the German state of Thuringia, Germany.
Among the top 100 national universities in Germany, it is home to more than 6,240 students. The university has around 100 professorships, 400 academic staff, and 300 administrative staff to assist learning services at Erfurt.
Programs at the University of Erfurt include 47 Bachelor and Master programs offered through four faculties – Faculty of Philosophy, Faculty of Education, Faculty of Economics, Law and Social Sciences, and Faculty of Catholic Theology.  It also has two professional schools based on the American model viz the Willy Brandt School of Public Policy and the Erfurt School of Education.","[{'Program Type': 'B.A Management (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 2.9 L/Yr', 'Exams Score': None}, {'Program Type': 'B.A Economics, Law and Social Sciences – Economics concentration (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 2.9 L/Yr', 'Exams Score': 'IELTS: 6.5'}, {'Program Type': 'B.A International Relations (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 2.9 L/Yr', 'Exams Score': None}, {'Program Type': 'B.A Philosophy (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 2.9 L/Yr', 'Exams Score': None}]","[{'Course Name': 'Master of Arts [M.A] Economics, Law and Social Sciences', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'German', 'Application Fees': 'INR 2.9 L/Yr'}, {'Course Name': 'Bachelor of Arts [B.A] Philosophy', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 2.9 L/Yr'}]"
GERMANY,"FOM University of Applied Sciences, Essen","North Rhine-Westphalia, Germany","{'Tuition Fees': '₹7.53L/Yr\xa0(€8,310/Yr)'}",M.B.A,"GMAT- 500.0, TOEFL- 84.0","FOM University of Applied Sciences Ranking, Programs, Admission Process & Living Cost",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2448_29-12:29_111.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Essen, North Rhine-Westphalia', 'School type': 'University', 'Established Year': 'Estd1993'}",8.3,,,"[{'Course Name': 'Master of Business Administration [M.B.A]', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Fees': 'INR 15.9 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] Business Administration and Business Psychology', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Application Fees': 'INR 3.2 L/Yr'}]"
GERMANY,"Esslingen University of Applied Sciences, Esslingen am Neckar","Baden-Wurttemberg, Germany","{'Tuition Fees': '₹2.08L/Yr\xa0(€2,300/Yr)', 'Living Fees': '₹35.1K/Yr\xa0(€388/Yr)'}",M.Eng Design and Development - A...,TOEFL- 71.0,"Esslingen University of Applied Sciences: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2449_28-15:21_ee1.png?h=90&w=90&mode=stretch,"{'Location': 'Esslingen am Neckar, Baden-Wurttemberg', 'School type': 'University', 'Established Year': 'Estd1868'}",,"The origin of Esslingen University of Applied Sciences dates back to 1868. In 2006, it originated as a public German University in Esslingen. It is one of the biggest and leading universities of applied sciences in the Stuttgart area with 78 partner universities all over the world. The university enrolls more than 6,200 students every year. It offers 28 Bachelor’s and 14 Master’s degree programs across diverse fields of engineering, business and economics, computer sciences, natural sciences, and social sciences for teaching and research. The university offers programs in both English as well as the German language.","[{'Program Type': 'B.S Nursing (3 years)', 'Important Dates': 'Application Deadline For Summer 2024 Intake (15th Sep 2024)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 79.0'}, {'Program Type': 'M.S Applied Surface and Material Sciences (1 year)', 'Important Dates': 'Application Deadline For Winter 2025 Intake (15th Sep 2024)', 'Fees': 'INR 1.2 L/Yr', 'Exams Score': 'TOEFL: 71.0, IELTS: 6.0'}]","[{'Course Name': 'Master of Engineering [M.Eng] Automotive Engineering', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Application Fees': 'INR 1.2 L/Yr'}, {'Course Name': 'Master of Engineering [M.Eng] Design and Development - Automotive and Mechanical Engineering', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Application Fees': 'INR 1.2 L/Yr'}]"
GERMANY,"Flensburg University of Applied Sciences, Flensburg","Schleswig-Holstein, Germany",{'Tuition Fees': '₹46K/Yr\xa0(€508/Yr)'},M.S Automation Engineering,IELTS- 5.0,"Flensburg University of Applied Sciences: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2451_29-13:12_ufaa.png?h=90&w=90&mode=stretch,"{'Location': 'Flensburg, Schleswig-Holstein', 'School type': 'University', 'Established Year': 'Estd1969'}",,"The Flensburg University of Applied Sciences, founded in 1852 is one of the top universities in Germany. The Flensburg University of Applied Sciences is home to over 3,500 students.","[{'Program Type': 'M.S Automation Engineering (1 year)', 'Important Dates': 'Application Deadline For Winter Intake (1st Jul 2024)', 'Fees': 'INR 46,020/Yr', 'Exams Score': 'IELTS: 5.0, TOEFL: 61.0'}, {'Program Type': 'M.S Biotechnology and Process Engineering (1 year)', 'Important Dates': 'Application Deadline For Winter Intake (1st Jul 2024)', 'Fees': 'INR 46,020/Yr', 'Exams Score': 'IELTS: 5.0, TOEFL: 61.0'}, {'Program Type': 'B.A Business Administration (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (1st Jul 2024)', 'Fees': 'INR 46,020/Yr', 'Exams Score': 'IELTS: 5.0, TOEFL: 61.0'}, {'Program Type': 'M.S Wind Engineering (2 years)', 'Important Dates': 'Application Deadline For Winter Intake (1st Jul 2024)', 'Fees': 'INR 46,020/Yr', 'Exams Score': 'IELTS: 5.0, TOEFL: 61.0'}, {'Program Type': 'M.A Business Management (2 years)', 'Important Dates': 'Application Deadline For Winter Intake (1st Jul 2024)', 'Fees': 'INR 46,020/Yr', 'Exams Score': 'IELTS: 5.0, TOEFL: 61.0'}, {'Program Type': 'B.S Biotechnology and Process Engineering (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (1st Jul 2024)', 'Fees': 'INR 46,020/Yr', 'Exams Score': 'IELTS: 5.0, TOEFL: 61.0'}]","[{'Course Name': 'Bachelor of Arts [B.A] Business Administration', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Application Date': '01 Jul, 2024', 'Application Fees': 'INR 46,020/Yr'}, {'Course Name': 'Master of Science [M.S] Automation Engineering', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Application Date': '01 Jul, 2024', 'Application Fees': 'INR 46,020/Yr'}]"
GERMANY,"Fulda University of Applied Sciences, Fulda","Hesse, Germany","{'Tuition Fees': '₹54.4K/Yr\xa0(€600/Yr)', 'Living Fees': '₹16.6K/Yr\xa0(€183/Yr)'}",M.S Global Software Development,TOEFL- 85.0,"Fulda University of Applied Sciences Campus, Programs & Financial Aid",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2457_05-15:04_flogo.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Fulda, Hesse', 'School type': 'University', 'Established Year': 'Estd1974'}",,,"[{'Program Type': 'B.S Business Information Technology (3 years)', 'Important Dates': 'Application Deadline For Summer 2025 Intake (31st Mar 2025)\nApplication Deadline For Winter 2025 Intake (30th Sep 2025)', 'Fees': 'INR 54,354/Yr', 'Exams Score': 'IELTS: 5.5, TOEFL: 72.0'}, {'Program Type': 'M.S Global Software Development (3 years)', 'Important Dates': 'Application Deadline For Summer 2025 Intake (31st Mar 2025)\nApplication Deadline For Winter 2025 Intake (30th Sep 2025)', 'Fees': 'INR 54,354/Yr', 'Exams Score': 'TOEFL: 85.0, IELTS: 6.5'}, {'Program Type': 'B.S Nutrition, Health, Food Business (3 years)', 'Important Dates': 'Application Deadline For Summer 2025 Intake (31st Mar 2025)\nApplication Deadline For Winter 2025 Intake (30th Sep 2025)', 'Fees': 'INR 54,354/Yr', 'Exams Score': 'IELTS: 5.5, TOEFL: 72.0'}, {'Program Type': 'B.S International Health Sciences (3 years)', 'Important Dates': 'Application Deadline For Summer 2025 Intake (31st Mar 2025)\nApplication Deadline For Winter 2025 Intake (30th Sep 2025)', 'Fees': 'INR 54,354/Yr', 'Exams Score': 'IELTS: 5.5, TOEFL: 72.0'}, {'Program Type': 'B.S Nursing (3 years)', 'Important Dates': 'Application Deadline For Summer 2025 Intake (31st Mar 2025)\nApplication Deadline For Winter 2025 Intake (30th Sep 2025)', 'Fees': 'INR 54,354/Yr', 'Exams Score': 'IELTS: 5.5, TOEFL: 72.0'}, {'Program Type': 'B.S Digital Media (3 years)', 'Important Dates': 'Application Deadline For Summer 2025 Intake (31st Mar 2025)\nApplication Deadline For Winter 2025 Intake (30th Sep 2025)', 'Fees': 'INR 54,354/Yr', 'Exams Score': 'IELTS: 5.5, TOEFL: 72.0'}]","[{'Course Name': 'Bachelor of Science [B.S] Nursing', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Application Date': '31 Mar, 2025', 'Application Fees': 'INR 54,354/Yr'}, {'Course Name': 'Master of Science [M.S] Accounting, Finance, Controllership', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Application Date': '31 Mar, 2025', 'Application Fees': 'INR 54,354/Yr'}]"
GERMANY,"Furtwangen University, Furtwangen im Schwarzwald","Baden-Wurttemberg, Germany","{'Tuition Fees': '₹2.72L/Yr\xa0(€3,000/Yr)', 'Living Fees': '₹31.7K/Yr\xa0(€350/Yr)'}",M.A Interactive Media Design,TOEFL- 95.0,"Furtwangen University [HFU] Furtwangen im Schwarzwald, Courses, Rankings, Admission Criteria, Fees & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2458_29-18:00_f2.jpeg?h=90&w=90&mode=stretch,"{'Location': 'Furtwangen im Schwarzwald, Baden-Wurttemberg', 'School type': 'University', 'Established Year': 'Estd1850'}",,"Furtwangen University is a public university established in 1850. The official name of the University is Furtwangen University - Computer Science, Engineering, Business, Media, Health. It enrolls over 5523 students including 3058 at Furtwangen campus, 1895 at Schwenningen campus and 570 at Tuttlingen campus. It is partnered with 165 international universities and reserves 10% of seats for international students aspiring to study in Germany.","[{'Program Type': 'M.A Interactive Media Design (1 year)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (15th Jul 2024)\nApplication Deadline For Summer 2025 Intake (15th Jan 2025)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'TOEFL: 95.0, IELTS: 7.0'}, {'Program Type': 'M.S Business Application Architectures (1 year)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (15th Jul 2024)\nApplication Deadline For Summer 2025 Intake (15th Jan 2025)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'TOEFL: 95.0, IELTS: 7.0'}, {'Program Type': 'M.S Smart Systems (1 year)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (15th Jul 2024)\nApplication Deadline For Summer 2025 Intake (15th Jan 2025)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'TOEFL: 95.0, IELTS: 7.0'}, {'Program Type': 'M.A Music Design (1 year)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (15th Jul 2024)\nApplication Deadline For Summer 2025 Intake (15th Jan 2025)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'TOEFL: 95.0, IELTS: 7.0'}, {'Program Type': 'M.S Business Consulting (1 year)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (15th Jul 2024)\nApplication Deadline For Summer 2024 Intake (15th Oct 2024)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'TOEFL: 95.0, IELTS: 7.0'}, {'Program Type': 'B.A Media Design (3 years)', 'Important Dates': 'Application Deadline For Winter 2024 Intake (15th Jul 2024)\nApplication Deadline For Summer 2025 Intake (15th Jan 2025)', 'Fees': 'INR 2.7 L/Yr', 'Exams Score': 'TOEFL: 95.0, IELTS: 7.0'}]","[{'Course Name': 'Master of Arts [M.A] Interactive Media Design', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'German', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 2.7 L/Yr'}, {'Course Name': 'Bachelor of Science [B.S] International Business Information Systems', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 2.7 L/Yr'}]"
GERMANY,"HafenCity University Hamburg, Hamburg","Hamburg, Germany",{'Tuition Fees': '₹58K/Yr\xa0(€640/Yr)'},M.S Architecture,,"HafenCity University Hamburg [HCU]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2464_30-12:48_hul.png?h=90&w=90&mode=stretch,"{'Location': 'Hamburg, Hamburg', 'School type': 'University', 'Established Year': 'Estd2006'}",,,,"[{'Course Name': 'Master of Science [M.S] Architecture', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Application Fees': 'INR 57,978/Yr'}, {'Course Name': 'Master of Science [M.S] Civil Engineering', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Application Fees': 'INR 57,978/Yr'}]"
GERMANY,"Hamburg University of Applied Sciences, Hamburg","Hamburg, Germany",{'Tuition Fees': '₹71.1K/Yr\xa0(€785/Yr)'},M.S Pharmaceutical Biotechnology,TOEFL- 90.0,"Hamburg University of Applied Sciences [HAW]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2466_30-14:19_logo.png?h=90&w=90&mode=stretch,"{'Location': 'Hamburg, Hamburg', 'School type': 'University', 'Established Year': 'Estd1970'}",,,"[{'Program Type': 'M.S Pharmaceutical Biotechnology (1 year)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 71,113/Yr', 'Exams Score': 'TOEFL: 90.0, IELTS: 6.5'}, {'Program Type': 'B.S Information Engineering (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 71,113/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 90.0'}, {'Program Type': 'M.A Design (1 year)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 71,113/Yr', 'Exams Score': 'TOEFL: 90.0, IELTS: 6.5'}, {'Program Type': 'M.S Production Technology and Management (1 year)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 71,113/Yr', 'Exams Score': 'TOEFL: 90.0, IELTS: 6.5'}, {'Program Type': 'B.S Biotechnology (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 71,113/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 90.0'}, {'Program Type': 'B.S Electrical Engineering and Information Technology (3 years)', 'Important Dates': 'Application Deadline For Winter Intake (15th Jul 2024)', 'Fees': 'INR 71,113/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 90.0'}]","[{'Course Name': 'Master of Science [M.S] Pharmaceutical Biotechnology', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 71,113/Yr'}, {'Course Name': 'Master of Arts [M.A] Design', 'Course Duration': '1 year', 'Course Degree': 'On Campus', 'Course Language': 'German', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 71,113/Yr'}]"
GERMANY,"Kuehne Logistics University, Hamburg","Hamburg, Germany","{'Tuition Fees': '₹13.02L/Yr\xa0(€14,378/Yr)'}",M.S Management,"IELTS- 6.5, PTE- 61.0","Kuehne Logistics University [KLU] Programs, Admission Process & Living Cost",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2467_03-10:42_klulogo.png?h=90&w=90&mode=stretch,"{'Location': 'Hamburg, Hamburg', 'School type': 'University', 'Established Year': 'Estd2010'}",,"Kuehne Logistics University is located in Hamburg's Harbor, funded by the nonprofit Kuehne Stiftung (Kuehne Foundation) is a state accredited Private University with a wide range of courses and research in Logistics, Supply Chain and Business Management. It is known to be the first choice for executives seeking to expand their expertise in logistics and also for logistics managers on faculties in Germany, Austria and Switzerland.","[{'Program Type': 'M.B.A Leadership and Supply Chain Management (18 months)', 'Important Dates': 'Application Deadline (31st Jul 2024)', 'Fees': 'INR 27.9 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 90.0, GMAT: 580.0'}, {'Program Type': 'M.S Management (2 years)', 'Important Dates': 'Application Deadline (15th Jul 2024)', 'Fees': 'INR 13 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 90.0, PTE: 61.0'}, {'Program Type': 'B.S Business Administration (3 years)', 'Important Dates': 'Application Deadline (15th Jul 2024)', 'Fees': 'INR 11.2 L/Yr', 'Exams Score': 'IELTS: 6.5, TOEFL: 90.0, PTE: 61.0'}]","[{'Course Name': 'Master of Science [M.S] Management', 'Course Duration': '2 years', 'Course Degree': 'Co Op, On Campus', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 13 L/Yr'}, {'Course Name': 'Master of Business Administration [M.B.A] Leadership and Supply Chain Management', 'Course Duration': '18 months', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '31 Jul, 2024', 'Application Fees': 'INR 27.9 L/Yr'}]"
GERMANY,"West Coast University of Applied Sciences, Heide","Schleswig-Holstein, Germany","{'Tuition Fees': '₹13.59L/Yr\xa0(€15,000/Yr)'}",M.A International Tourism Manage...,TOEFL- 87.0,"West Coast University of Applied Sciences [FHW]: Rankings, Courses, Admissions, Tuition Fee, Cost of Attendance & Scholarships",https://images.collegedunia.com/public/college_data/images/studyabroad/logos/college_2470_12-11:49_wa.png?h=90&w=90&mode=stretch,"{'Location': 'Heide, Schleswig-Holstein', 'School type': 'University', 'Established Year': 'Estd1993'}",,"The West Coast University of Applied Science was established in the year 1993 for vocational, higher education, and applied research. In the year 2000, the University got its newly constructed building near Heide. The University has around 1,200 students enrollment. The university is accredited by WASC Senior College and University Commission.","[{'Program Type': 'M.A International Tourism Management (2 years)', 'Important Dates': 'Application Deadline For Summer Intake (15th Jul 2024)', 'Fees': 'INR 13.6 L/Yr', 'Exams Score': 'TOEFL: 87.0, IELTS: 6.0, TOEIC: 785.0'}, {'Program Type': 'L.L.B Economics and Law (3 years)', 'Important Dates': 'Application Deadline For 2024 Intake (15th Jul 2024)', 'Fees': 'INR 13.6 L/Yr', 'Exams Score': None}, {'Program Type': 'B.A International Tourism Management (3 years)', 'Important Dates': 'Application Deadline For 2024 Intake (15th Jul 2024)', 'Fees': 'INR 13.6 L/Yr', 'Exams Score': None}, {'Program Type': 'B.A Real estate Business Studies (3 years)', 'Important Dates': 'Application Deadline For 2024 Intake (15th Jul 2024)', 'Fees': 'INR 13.6 L/Yr', 'Exams Score': None}, {'Program Type': 'M.S Micro-Electronic Systems (1 year)', 'Important Dates': 'Application Deadline For Summer Intake (15th Jul 2024)', 'Fees': 'INR 13.6 L/Yr', 'Exams Score': None}, {'Program Type': 'B.A Business Administration (3 years)', 'Important Dates': 'Application Deadline For 2024 Intake (15th Jul 2024)', 'Fees': 'INR 13.6 L/Yr', 'Exams Score': None}]","[{'Course Name': 'Bachelor of Arts [B.A] Real estate Business Studies', 'Course Duration': '3 years', 'Course Degree': 'On Campus', 'Course Language': 'English', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 13.6 L/Yr'}, {'Course Name': 'Master of Arts [M.A] International Tourism Management', 'Course Duration': '2 years', 'Course Degree': 'On Campus', 'Course Language': 'English, German', 'Application Date': '15 Jul, 2024', 'Application Fees': 'INR 13.6 L/Yr'}]"
