College Name,College Logo,Course Name,Application Date,College Location,College Afilliation,College Info
"AIIMS Patna Admission 2024: Dates, Courses, Fees, Eligibility, Cutoff, Selection Criteria, Application Process",https://images.collegedunia.com/public/college_data/images/appImage/25410_JPNAIIMS_APP.jpg?h=160&w=313&mode=stretch,B.Sc (Nursing)  | M.Ch ,"June 29th, 2024","Patna,  Bihar",,"AIIMS Patna offers admission to MBBS and B.Sc (Hons) Nursing at the UG level, MD/MS at the PG level, and DM/M/.Ch at the Super Specialty level. AIIMS Patna is one of the six AIIMS established by the Ministry of Health & Family Welfare, Government of India in the year 2012. AIIMS Patna is an ‘Institute of National Importance’ and is a premier medical institute in India.  "
"AIIMS Bhubaneswar Admission 2024: Dates, Courses, Fees, Eligibility, Selection Process, Cutoff",https://images.collegedunia.com/public/college_data/images/appImage/25753_AIIMS_NEW.jpg?h=160&w=313&mode=stretch,B.Sc (Nursing)  | MBBS ,"June 29th, 2024","Bhubaneswar,  Odisha",,"AIIMS Bhubaneswar Admission to MD, MS, M.Ch, and D.M courses for January 2024 Session have started. All India Institute of Medical Sciences Bhubaneswar is a premier government medical institute ranked 17th in NIRF 2023 Ranking in Medical Category. It has also been recognized as an ‘Institute of National Importance’ in India. AIIMS Bhubaneswar offers admission to various courses at the Undergraduate, Postgraduate, and Super Specialty levels."
"NID Assam Admission 2024: Dates, Fees, Eligibility Criteria, Selection, Cutoff",https://images.collegedunia.com/public/college_data/images/appImage/160023880809.jpg?h=160&w=313&mode=stretch,,"June 29th, 2024","Jorhat,  Assam",,"NID Assam offers admission to only Bachelor of Design (B.Des) in full-time mode at the undergraduate level for a duration of 4 Years. Candidates must have passed 10+2 in any stream to be eligible to apply for NID Assam Admission. Admission to B.Des at NID Assam is based on the score obtained by the candidates in the NID Design Aptitude Test (NID DAT). NID DAT has two stages namely DAT Prelims and DAT Mains. Eligible candidates have to first appear for NID DAT Prelims. Based on the merit in NID DAT Prelims, the candidates will be shortlisted for NID DAT Mains. The final selection for NID Assam Admission will be based on the sum total of the weighted scores obtained by the candidates in DAT Prelims and DAT Mains. NID Assam offers B.Des in three specializations namely Industrial Design, Communication Design, and Textile & Apparel Design. Candidates enrolled in B.Des at NID Assam will have to first attend a mandatory one-year foundation program. The allotment of the desired specialization will be based on the candidate’s performance during the foundation program. The institute offers 25 Seats for each specialization of B.Des leading to a total of 75 Seats for the entire course. Candidates need to apply online for NID Assam Admission on its official website. The application fee for admission is INR 3,000 for General/ EWS/ OBC and INR 1,500 for SC/ ST/ PwD.The important details about NID Assam Admission are as follows: "
"KIIT - Kalinga Institute of Industrial Technology Admission 2024: Dates, KIITEE, Fees,  Eligibility, Selection, Registration",https://images.collegedunia.com/public/college_data/images/appImage/14878534504.jpg?h=160&w=313&mode=stretch,B.Arch  | B.Com ,"June 29th, 2024","Bhubaneswar,  Odisha",,"If you haven’t appeared for KIITEE and want to get direct admission to KIIT, you will have to choose one of the 2 ways mentioned below"
"Aditi Mahavidyalaya Delhi Admission 2024: Courses, Cutoff, Eligibility, Application Process, Dates",https://images.collegedunia.com/public/college_data/images/appImage/1491907072cvr.png?h=160&w=313&mode=stretch,B.Com  | B.Ed ,"June 29th, 2024","New Delhi,  Delhi NCR","DU, New Delhi","Aditi Mahavidyalaya Admission 2024 has started. The admission process is carried out for UG courses through the centralized Delhi University Common Seat Allocation System (DU CSAS). The college accepts CUET scores as the basis of admission to the UG level. The entrance exams are administered by NTA. CUET UG is generally conducted in March, every year. The Aditi Mahavidyalaya admission cutoff 2024 for the general category students is expected to range between 693 and 755 marks in CUET UG. For admission at Aditi Mahavidyalaya, the registration process generally starts after the declaration of the CUET result. Candidates who selected Delhi University while filling out the CUET application can register themselves on the DU CSAS portal and choose [College + Course] preferences. The entire selection process is done via the DU CSAS portal for the UG courses in multiple rounds. Candidates can check the seat allotment result on the CSAS dashboard. They can confirm their seat by paying the admission fee after seat allotment. The Aditi Mahavidyalaya courses, eligibility criteria, cutoff, and admission process are discussed in the article below.Check: Aditi Mahavidyalaya Courses & Fees "
"NID Bhopal Admission 2024: Dates, Courses, Fees, Eligibility Criteria, Selection, Cutoff",https://images.collegedunia.com/public/college_data/images/appImage/1638874237maxresdefault.jpg?h=160&w=313&mode=stretch,,"June 29th, 2024","Bhopal,  Madhya Pradesh",,"NID Bhopal offers a full-time four-year Bachelor of Design (B.Des program) in three specializations in the field of Design namely, Industrial Design, Communication Design, and Textile & Apparel Design. The institute offers a total of 75 Seats for B.Des (25 for Each Specialization) for Indian Nationals and 11 Seats for International Students. Candidates admitted to the B.Des program at NID Bhopal will have to attend a mandatory one-year foundation program. The allotment of the desired discipline will be based on the candidate’s performance during the foundation program. Candidates must have passed 10+2 in any stream to be eligible to apply for NID Bhopal Admission. Candidates will be offered admission to B.Des at NID Bhopal based on the score in the NID DAT (Design Aptitude Test). NID DAT involves two stages namely DAT Prelims and DAT Mains. Candidates will have to first appear for NID DAT Prelims, and based on their merit in the same, they will be shortlisted for DAT Mains. The final selection will be based on the sum total of the weighted scores obtained by the candidates in DAT Prelims and DAT Mains. Candidates seeking admission to NID Bhopal need to apply online on the official website of NID. The application fee to apply online for NID Bhopal Admission is INR 3,000 for General/ EWS/ OBC, INR 1,500 for SC/ ST/ PwD, and INR 5,000 for Overseas Candidates.Here are the important details about NID Bhopal Admission:"
"Mar Dioscorus College of Pharmacy Admission 2024: Courses, Placement, Entrance Exam, Notification",https://images.collegedunia.com/public/college_data/images/appImage/9684_MDCP_APP.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Thiruvananthapuram,  Kerala",,"Mar Dioscorus College of Pharmacy was started in the year 2004 in Thiruvananthapuram, Kerala. It is affiliated to Kerala University of Health Sciences, Thrissur.Mar Dioscorus College of Pharmacy offers UG degree in B.Pharm with a total of 60 seats and PG degree in M.Pharm with about 18 seats."
"L.M. College of Pharmacy, Ahmedabad Admission 2024: Fees Structure, Entrance Exam, Admit Crad",https://images.collegedunia.com/public/college_data/images/appImage/9619_LMCP_New.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Ahmedabad,  Gujarat","GTU, Ahmedabad","L.M. College of Pharmacy (LMCP), established in 1947 is located in Ahmedabad, Gujarat. The college is affiliated to Gujarat Technological University.At the UG level, B.Pharma is offered with a total intake of 75 seats. At the PG level, LM College of Pharmacy offers M.Pharma in 5 specializations. It also offers D.Pharm, Ph.D. and Pharm.D. Program respectively. "
"KVM College of Pharmacy, Cherthala Admission 2024: Courses, Fees Structure, Merit List",https://images.collegedunia.com/public/college_data/images/appImage/9587_KVMCP_APP.jpg?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Cherthala,  Kerala",,"KVM College of Pharmacy is situated in Cherthala, Alleppey, Kerala which was established in 2010. It is recognized by Government of Kerala and approved by Pharmacy Council of India (PCI) New Delhi and All India Council of Technical education (AICTE) New Delhi and is affiliated to Kerala University of Health Science (KUHS) Thrissur.KVM College of Pharmacy offers four-year Bachelor of Pharmacy (B.Pharm), B.Pharm (Lateral), two-year Diploma in Pharmacy (D.Pharm), and six-year Doctorate in pharmacy (Pharm.D)."
"KLE’s University College of Pharmacy Admission 2024: Fees Structure, Courses, Cutoff, Entrance Exam",https://images.collegedunia.com/public/college_data/images/appImage/9573_cvr.png?h=160&w=313&mode=stretch,B.Pharm ,"June 29th, 2024","Belgaum,  Karnataka","KLE University, Belgaum","KLE’s University College of Pharmacy was established in 1968 in Belgaum, Karnataka. All the courses of the college are approved by Pharmacy Council of India (PCI).KLE College of Pharmacy offers under graduate, post graduate and post baccalaureate and Doctorate level in Pharmacy. Apart from the pharmacy courses, it also offers Master’s program in Clinical Research."
