exam_name_updated,full_form,Exam_category,application_form_date,examination_date,result_date,Logo_Img_links,,Mode_of_exam,detail_text
JEE Main,Joint Entrance Exam Main,Engineering,15 Dec 23-21 Jan 24,24-Jan-24,6-Feb-24,https://images.collegedunia.com/public/college_data/images/logos/2019-01-09.png?h=66&w=66&mode=stretch,,Online Test,JEE Main is the national level undergraduate engineering entrance exam. This exam is acceptable for the admission in various B.Tech/B.E Programs.
JEE Advanced,Joint Entrance Examination Advanced,Engineering,30 Apr 24-07 May 24,4-Jun-24,18-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/gatellogo.png?h=66&w=66&mode=stretch,,Online Test,"JEE Advanced is applicable for admission in  Bachelor’s, Integrated Master’s and Dual Degree programs in IITs."
GATE,Graduate Aptitude Test in Engineering,Engineering,30 Aug 23-29 Sept 23,4-Feb-24,16-Mar-24,https://images.collegedunia.com/public/college_data/images/logos/iisc-hdr-logo.jpg?h=66&w=66&mode=stretch,,Online Test,GATE 2024 is a national-level exam conducted for M.Tech admissions across India. The scores are also accepted for PSU Recruitment.
BITSAT,Birla Institute of Technology and Science Admission Test,Engineering,31 Jan 24-15 May 24,21 May 24-26 May 24,30-May-24,https://images.collegedunia.com/public/college_data/images/logos/BITS Pilani Logo.png?h=66&w=66&mode=stretch,,Online Test,"BITSAT is a university level exam. BITSAT is conducted for admission in B.E, B.Pharma and M.Sc."
WBJEE,West Bengal Joint Entrance Examination,Engineering,23 Dec 23-21 Jan 24,30-Apr-24,26-May-24,https://images.collegedunia.com/public/college_data/images/logos/1425805509201525-171954725-4733-wbjeeexam.jpg?h=66&w=66&mode=stretch,,Written Test,"KEAM is a state level exam conducted by the Commissioner of Entrance Examination (CEE), Kerala, for admission into the UG Engineering programs."
KEAM,Kerala Engineering Agricultural Medical Entrance Examination,Engineering,04 May 24-18 Mar 24,17-May-24,31-May-24,https://images.collegedunia.com/public/college_data/images/logos/1430472788Government_of_kerela (1).jpg?h=66&w=66&mode=stretch,,Written Test,WBJEE exam is conducted for admissions in the undergraduate courses in engineering and pharmacy.
COMEDK UGET,Consortium of Medical Engineering and Dental Colleges of Karnataka Under Graduate Entrance Test,Engineering,03 Mar 24-10 Apr 24,10 May 24-14 May 24,25-May-24,https://images.collegedunia.com/public/college_data/images/logos/tsche logo.png?h=66&w=66&mode=stretch,,Online Test,VITEEE is a national level engineering entrance exam for admission in B.Tech programs.
TS EAMCET,Telangana State Engineering Agriculture and Medical Common Entrance Test,Engineering,15 Feb 24-27 Apr 24,28-May-24,10-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/1412935168comedk logo.jpg?h=66&w=66&mode=stretch,,Online Test,COMEDK UGET is a State level exam for admission to B.E/B.Tech/B.Arch courses.
VITEEE,Vellore Institute of Technology Engineering Entrance Examination,Engineering,11 Nov 23-05 Apr 24,17 Apr 24-23 Apr 24,26-Apr-24,https://images.collegedunia.com/public/college_data/images/logos/1416489794logo.png?h=66&w=66&mode=stretch,,Online Test,TS EAMCET is an entrance examination required for admission to some engineering and medical colleges in Telangana.
OJEE,Odisha Joint Entrance Examination,Engineering,10 Feb 24-31 Mar 24,12-May-24,2-Jun-24,https://images.collegedunia.com/public/college_data/images/logos/ojee logo.jpg?h=66&w=66&mode=stretch,,Online Test,AP EAPCET is a state-level entrance exam offering admissions into various UG courses offered by colleges in Andhra Pradesh
