,Country,Universities Names,University Place,Tuition Fees,Living Fees
1, UK,"University of Oxford, Oxford","England, UK",₹36.5L/Yr,₹16.8L/Yr
2, USA,"Stanford University, Stanford","California, USA",₹41.02L/Yr,₹25.46L/Yr
3, USA,"Massachusetts Institute of Technology, Cambridge","Massachusetts, USA",₹56.04L/Yr,₹13.63L/Yr
4, USA,"Harvard University, Cambridge","Massachusetts, USA",₹47.65L/Yr,₹26.36L/Yr
5, UK,"University of Cambridge, Cambridge","England, UK",₹45.41L/Yr,₹70.5K/Yr
6, USA,"Princeton University, Princeton","New Jersey, USA",₹56.03L/Yr,₹15.5L/Yr
7, USA,"California Institute of Technology, Pasadena","California, USA",₹51.77L/Yr,₹12.31L/Yr
8, UK,"Imperial College London, London","England, UK",₹40.31L/Yr,₹12.15L/Yr
9, USA,"University of California, Berkeley","California, USA",₹33.9L/Yr,₹34.38L/Yr
10, USA,"Yale University, New Haven","Connecticut, USA",₹51.11L/Yr,₹21.45L/Yr
11, Switzerland,"ETH Zurich, Zurich","Zurich, Switzerland",₹1.75L/Yr,₹2.04L/Yr
12, USA,"University of Chicago, Chicago","Illinois, USA",₹58.19L/Yr,₹15.3L/Yr
13, USA,"Johns Hopkins University, Baltimore","Maryland, USA",₹59.96L/Yr,₹14.67L/Yr
14, USA,"University of Pennsylvania, Philadelphia","Pennsylvania, USA",₹50.7L/Yr,₹14.88L/Yr
15, USA,"Columbia University, New York City","New York, USA",₹41.73L/Yr,₹8.66L/Yr
16, USA,"University of California, Los Angeles","California, USA",₹43.11L/Yr,₹14.26L/Yr
17, Singapore,"National University of Singapore, Singapore","Singapore, Singapore",₹21.07L/Yr,₹4.8L/Yr
18, USA,"Cornell University, Ithaca","New York, USA",₹46.16L/Yr,₹29.36L/Yr
19, Canada,"University of Toronto, Toronto","Ontario, Canada",₹35.35L/Yr,₹23.27L/Yr
20, UK,"University College London, London","England, UK",₹33.44L/Yr,₹36.01L/Yr
21, USA,"University of Michigan, Ann Arbor","Michigan, USA",₹47.92L/Yr,₹10.01L/Yr
22, USA,"Carnegie Mellon University, Pittsburgh","Pennsylvania, USA",₹48.99L/Yr,₹11.47L/Yr
23, USA,"University of Washington, Seattle","Washington, USA",₹32.21L/Yr,₹10.08L/Yr
24, USA,"Duke University, Durham","North Carolina, USA",₹53.96L/Yr,₹32.58L/Yr
25, USA,"New York University, New York City","New York, USA",₹52.97L/Yr,₹17.48L/Yr
26, USA,"Northwestern University, Evanston","Illinois, USA",₹46.61L/Yr,₹13.35L/Yr
27, Germany,"Technical University Munich, Munich","Bavaria, Germany",₹10.05L/Yr,₹21.31L/Yr
28, UK,"University of Edinburgh, Edinburgh","Scotland, UK",₹31.68L/Yr,₹10.48L/Yr
29, Singapore,"Nanyang Technological University, Singapore","Singapore, Singapore",₹12.84L/Yr,₹44.1K/Yr
30, USA,"University of California, San Diego","California, USA",₹34.51L/Yr,NA
31, Hong-Kong,"The University of Hong Kong, Pokfulam","Hong Kong, Hong-Kong",₹19.38L/Yr,NA
32, USA,"Georgia Institute of Technology, Atlanta","Georgia, USA",₹33.56L/Yr,₹6.68L/Yr
33, Australia,"University of Melbourne, Melbourne","Victoria, Australia",₹28.15L/Yr,₹11.17L/Yr
34, Germany,"Ludwig Maximilian University of Munich, Munich","Bavaria, Germany",₹82.8K/Yr,₹1.28L/Yr
35, UK,"King's College London, London","England, UK",₹29.89L/Yr,₹1.33L/Yr
36, Canada,"The University of British Columbia, Vancouver","British Columbia, Canada",₹20.82L/Yr,₹18.4L/Yr
37, USA,"University of Illinois, Urbana","Illinois, USA",₹36.66L/Yr,NA
38, UK,"London School of Economics and Political Science, London","England, UK",₹29.53L/Yr,₹45.88L/Yr
39, Germany,"Heidelberg University, Heidelberg","Baden-Wurttemberg, Germany",₹2.85L/Yr,₹20.45L/Yr
40, Netherlands,"Delft University of Technology, Delft","South Holland, Netherlands",₹19.27L/Yr,₹9.32L/Yr
41, Canada,"McGill University, Montreal","Quebec, Canada",₹20.1L/Yr,₹25.42L/Yr
42, Sweden,"Karolinska Institute, Stockholm","Uppland, Sweden",₹15.13L/Yr,NA
43, UK,"The University of Manchester, Manchester","England, UK",₹31.02L/Yr,₹19.42L/Yr
44, USA,"University of Texas, Austin","Texas, USA",₹34.07L/Yr,₹10.22L/Yr
45, Hong-Kong,"Chinese University of Hong Kong, Shatin","Hong Kong, Hong-Kong",₹15.44L/Yr,NA
46, Australia,"Monash University, Melbourne","Victoria, Australia",₹27.78L/Yr,₹9.86L/Yr
47, USA,"University of California, Davis","California, USA",₹44.27L/Yr,₹13.42L/Yr
48, Australia,"The University of Sydney, Sydney","New South Wales, Australia",₹28.02L/Yr,₹11.33L/Yr
49, Netherlands,"University of Amsterdam, Amsterdam","North Holland, Netherlands",₹24.24L/Yr,₹84.6K/Yr
50, USA,"University of Wisconsin, Madison","Wisconsin, USA",₹27.48L/Yr,₹14.26L/Yr
51, Hong-Kong,"The Hong Kong University of Science & Technology, Hong Kong","Hong Kong, Hong-Kong",₹10.24L/Yr,NA
52, Netherlands,"Wageningen University & Research, Wageningen","Gelderland, Netherlands",₹17.38L/Yr,NA
53, USA,"Brown University, Providence","Rhode Island, USA",₹58.24L/Yr,₹8.13L/Yr
54, Australia,"Australian National University, Canberra","Australian Capital Territory , Australia",₹26.93L/Yr,₹29.99L/Yr
55, USA,"Washington University, St. Louis","Missouri, USA",₹48.74L/Yr,₹12.9L/Yr
56, USA,"University of California, Santa Barbara","California, USA",₹37.67L/Yr,₹12.62L/Yr
57, Australia,"The University of Queensland, Brisbane","Queensland, Australia",₹23.73L/Yr,₹12.94L/Yr
58, USA,"University of North Carolina, Chapel Hill","North Carolina, USA",₹39.48L/Yr,₹9.61L/Yr
59, USA,"University of Southern California, Los Angeles","California, USA",₹24.89L/Yr,₹13.92L/Yr
60, France,"Sorbonne University, Paris","Ile-De-France, France",₹20.2K/Yr,₹5.4L/Yr
61, Netherlands,"Leiden University, Leiden","South Holland, Netherlands",₹17.44L/Yr,₹92K/Yr
62, USA,"Boston University, Boston","Massachusetts, USA",₹57.76L/Yr,₹32.78L/Yr
63, Netherlands,"University of Groningen, Groningen","Groningen, Netherlands",₹15.27L/Yr,₹82.3K/Yr
64, UK,"University of Bristol, Bristol","England, UK",₹27.16L/Yr,₹27.21L/Yr
65, Hong-Kong,"City University of Hong Kong, Kowloon Tong","Hong Kong, Hong-Kong",₹18.26L/Yr,NA
66, Australia,"University of New South Wales, Sydney","New South Wales, Australia",₹17.58L/Yr,₹38.55L/Yr
67, USA,"University of Minnesota - Twin Cities, Minneapolis","Minnesota, USA",₹34.3L/Yr,₹8.19L/Yr
