College Name,Place,Logo Link
IIT Guwahati - Indian Institute of Technology - [IITG],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1394864902Indian Institute of Technology - IIT Guwahati.png?h=43&w=43&mode=stretch
Department of Business Administration,"Tezpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/uv25401.jpg?h=43&w=43&mode=stretch
Assam University,"Silchar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1394864742Assam University.png?h=43&w=43&mode=stretch
NIT Silchar,"Silchar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1394865664National Institute of Technology - NIT Silchar.png?h=43&w=43&mode=stretch
Royal Global University - [RGU],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1624941524logofinalJPEG.jpg?h=43&w=43&mode=stretch
Dibrugarh University,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/15042614311463481238DibrugarhUniversitylogo.jpg?h=43&w=43&mode=stretch
Guwahati College of Architecture and Planning,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1709553802Screenshot20240304172439.png?h=43&w=43&mode=stretch
NEF Law College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/col8939.jpg?h=43&w=43&mode=stretch
Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1706854395logoCopy300x110.png?h=43&w=43&mode=stretch
Arya Vidyapeeth College - [AVC],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1395645792Arya Vidyapeeth College.png?h=43&w=43&mode=stretch
Mangaldai Law College,"Marigaon, Assam",https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?h=43&w=43&mode=stretch
Tezpur Law College,"Sonitpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424513608logo51.png?h=43&w=43&mode=stretch
North East Institute of Fashion Technology - [NEIFT],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1421494280titleFBDB.png?h=43&w=43&mode=stretch
Jorhat Law College,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/1423737541johrat.jpg?h=43&w=43&mode=stretch
Dibrugarh Hanumanbux Surajmal Kanoi College - [DHSK],"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/1459425831logo.png?h=43&w=43&mode=stretch
Royal School of Architecture,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1551783279rgulogo2.jpg?h=43&w=43&mode=stretch
Dispur College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1393320785Dispur College.png?h=43&w=43&mode=stretch
Girijananda Chowdhury Institute of Pharmaceutical Science - [GIPS],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1568020913GIPSloggggg.png?h=43&w=43&mode=stretch
Guwahati College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/col1817.jpg?h=43&w=43&mode=stretch
Dakshin Guwahati B.Ed College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424494162jp.jpg?h=43&w=43&mode=stretch
B. Borooah College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1513575138bbclogo.gif?h=43&w=43&mode=stretch
Handique Girls College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1512966213nvdnvnvmndmvndmv.png?h=43&w=43&mode=stretch
Assam Don Bosco University - [ADBU],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1685714174logo.png?h=43&w=43&mode=stretch
Gauhati University - [GU],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1394864857Gauhati University.png?h=43&w=43&mode=stretch
Indian Institute of Information Technology - [IIITG],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1517651931cvrimge.png?h=43&w=43&mode=stretch
Central Institute of Technology - [CIT],"Kokrajhar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424071958cit.jpg?h=43&w=43&mode=stretch
Assam Engineering College - [AEC],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/col28274.jpg?h=43&w=43&mode=stretch
NERIM Group of Institutions - [NERIM],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1625290156head.jpg?h=43&w=43&mode=stretch
Jorhat Engineering College - [JEC],"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/col27976.jpg?h=43&w=43&mode=stretch
Assam Agricultural University - [AAU],"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/14637254052597AAU-Recruitment-2014.jpg?h=43&w=43&mode=stretch
Assam Science and Technology University - [ASTU],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1462595691loo.png?h=43&w=43&mode=stretch
Asian Institute of Management and Technology - [AIMT],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1588338362aimtlogo.png?h=43&w=43&mode=stretch
Assam Down Town University - [ADTU],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1585215795UniversityLogo.jpg?h=43&w=43&mode=stretch
