College Name and Place,Logo Link
"{'Name': 'Goa Institute of Management - [GIM]', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1597308225Logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM]', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1438240221IHMGOA.png?h=43&w=43&mode=stretch
"{'Name': 'Goa College of Pharmacy', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1470315044image004.jpg?h=43&w=43&mode=stretch
"{'Name': 'VM Salgaocar College of Law', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1459767819vm-logo.png?h=43&w=43&mode=stretch
"{'Name': ""St. Xavier's College"", 'Location': 'Bardez, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1422687956zoutons-online-coupons.jpg?h=43&w=43&mode=stretch
"{'Name': 'National Institute of Technology - [NIT]', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/15094366571394873627NationalInstituteofTechnologyNITGoa.png?h=43&w=43&mode=stretch
"{'Name': 'ICAR-Central Coastal Agricultural Research Institute -  [CCARI]', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/col6632.jpg?h=43&w=43&mode=stretch
"{'Name': 'Goa College of Architecture', 'Location': 'Panji, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/col32765.jpg?h=43&w=43&mode=stretch
"{'Name': 'Ann Institute of Hotel Management and Catering Technology', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1423645749aihmct-logo1.jpg?h=43&w=43&mode=stretch
"{'Name': 'IIT Goa - Indian Institute of Technology - [IIT Goa]', 'Location': 'Ponda, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1541821870iitgoa.jpg?h=43&w=43&mode=stretch
"{'Name': 'Birla Institute of Technology and Science - [BITS]', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1578548425D0GSnuY5SXyhNfM5orI1RQmini1.jpg?h=43&w=43&mode=stretch
"{'Name': 'Goa College of Engineering - [GEC]', 'Location': 'Ponda, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1470209819Goa_College_of_Engineering_logo.png?h=43&w=43&mode=stretch
"{'Name': 'Government College of Arts Science and Commerce Sanquelim', 'Location': 'North Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1486556439Capture.jpg?h=43&w=43&mode=stretch
"{'Name': 'Padre Conceicao College of Engineering', 'Location': 'Salcete, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/1395121523Padre Conceicao College of Engineering.png?h=43&w=43&mode=stretch
"{'Name': 'National Centre for Antarctic and Ocean Research - [NCAOR]', 'Location': 'South Goa, Goa'}",https://images.collegedunia.com/public/college_data/images/logos/col16736.jpg?h=43&w=43&mode=stretch
