College Name,Place,Logo Link
IIT Bombay - Indian Institute of Technology - [IITB],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1431953162ccgsygdygw.jpg?h=43&w=43&mode=stretch
SP Jain [SPJIMR],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1667475461Untitled.png?h=43&w=43&mode=stretch
International Institute of Management Studies - [IIMS],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1501755966IIMSNewLogo.png?h=43&w=43&mode=stretch
JBIMS,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1593019342Logo.png?h=43&w=43&mode=stretch
Sandip University,"Nashik, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1488173208Logo.jpg?h=43&w=43&mode=stretch
IIM Mumbai - Indian Institute of Management,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/16923621403677202177264631359556245419922919806487002n.jpg?h=43&w=43&mode=stretch
MIMA Institute of Management,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1669872445index.png?h=43&w=43&mode=stretch
TISS Tata Institute of Social Sciences,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1450952592Untitled.jpg?h=43&w=43&mode=stretch
MET Asian Management Development Centre - [MET AMDC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1618077138lohooooo.png?h=43&w=43&mode=stretch
Shailesh J. Mehta School of Management,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1438144832jojojoj.jpg?h=43&w=43&mode=stretch
Bakliwal Foundation College of Arts,"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1585040632logo.jpeg?h=43&w=43&mode=stretch
Symbiosis Institute of Business Management - [SIBM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1618823976Logo.png?h=43&w=43&mode=stretch
School of Business Management,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1605075960sbmlogomumbainmims.jpg?h=43&w=43&mode=stretch
Symbiosis Centre for Management and Human Resource Development - [SCMHRD],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1457587141Screenshot001.jpg?h=43&w=43&mode=stretch
Indian Institute of Management - [IIMN],"Nagpur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1571296491logo22.jpg?h=43&w=43&mode=stretch
SIMSREE,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1596869369Logo.jpg?h=43&w=43&mode=stretch
Symbiosis Institute of International Business - [SIIB],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1507362926lllllllllllllllllllll.png?h=43&w=43&mode=stretch
KJ Somaiya,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1628582356logo.jpeg?h=43&w=43&mode=stretch
Prin. L. N. Welingkar Institute of Management Development & Research - [WeSchool],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1610520048logo3.png?h=43&w=43&mode=stretch
SIES School of Business Studies - [SIES SBS],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1610432270Screenshot20210112114631.png?h=43&w=43&mode=stretch
Dr. D. Y. Patil B-School,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1609307076Logo.png?h=43&w=43&mode=stretch
Symbiosis Institute of Digital and Telecom Management - [SIDTM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1569932173logosidtm1.png?h=43&w=43&mode=stretch
International School of Management Studies - [ISMS],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1589520777ioms01.png?h=43&w=43&mode=stretch
SIES College of Management Studies - [SIESCOMS],"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1641195355logo.jpg?h=43&w=43&mode=stretch
IIEBM Indus Business School - [IIEBM IBS],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1612424965Logo.png?h=43&w=43&mode=stretch
MET Institute of Management - [MET IOM],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1618079692Screenshot20210411000432.png?h=43&w=43&mode=stretch
Institute of Management Technology - [IMT],"Nagpur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1689580906Untitled.png?h=43&w=43&mode=stretch
International School of Business and Media - [ISB&M] Nande,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/17037706223682318807038445017576401484130391389881885n.jpg?h=43&w=43&mode=stretch
Balaji Institute of Modern Management - [BIMM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/15508137154326510331.jpg?h=43&w=43&mode=stretch
Balaji Institute of International Business - [BIIB],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1514899422Logo.jpg?h=43&w=43&mode=stretch
N. L. Dalmia Institute of Management Studies and Research - [NLDIMSR],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1687938320DalmiaInstituteNewLogo011234.png?h=43&w=43&mode=stretch
Symbiosis Institute of Operations Management - [SIOM],"Nashik, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1506574837SymbiosisLogo.jpg?h=43&w=43&mode=stretch
Balaji Institute of Management and Human Resource Development - [BIMHRD],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1500551732logo.png?h=43&w=43&mode=stretch
Aditya Institute of Management Studies and Research - [AIMSR],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/165414829115005531431494574083logoedt.jpeg?h=43&w=43&mode=stretch
Institute of Chemical Technology - [ICT],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1505131397logo.png?h=43&w=43&mode=stretch
ITM Business School Kharghar - [ITM],"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1697095607ITMBSchoolLogo1.png?h=43&w=43&mode=stretch
Kohinoor Business School -  [KBS],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1665469118index.jpg?h=43&w=43&mode=stretch
Universal Business School - [UBS],"Karjat, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1474366585ugs.jpg?h=43&w=43&mode=stretch
Pune Institute of Business Management - [PIBM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1687325505Untitled.jpg?h=43&w=43&mode=stretch
Bharati Vidyapeeth University,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1500616065dvffhgljhfr.png?h=43&w=43&mode=stretch
Fergusson College,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1409920983logo of.png?h=43&w=43&mode=stretch
National Institute of Fashion Technology - [NIFT],"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/col6914.jpg?h=43&w=43&mode=stretch
Chetana's Institute of Management and Research - [CIMR],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1583739091CIMRLogo.png?h=43&w=43&mode=stretch
Vaikunth Mehta National Institute of Co-Operative Management - [VAMNICOM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1418720077logo1.jpg?h=43&w=43&mode=stretch
Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1438067962banner-logo1503.jpg?h=43&w=43&mode=stretch
St. Xavier's College,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1504695740logo.jpg?h=43&w=43&mode=stretch
Nair Hospital Dental College,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1483434190afdsf.png?h=43&w=43&mode=stretch
Symbiosis Institute of Media and Communication - [SIMC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1606977811logo.png?h=43&w=43&mode=stretch
Symbiosis Centre for Information Technology - [SCIT],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1520422201logoedt1.png?h=43&w=43&mode=stretch
MIT Art,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1653994850Screenshot20220531162909.png?h=43&w=43&mode=stretch
Indira School of Business Studies PGDM - [ISBS PGDM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1639637778ISBSlogofinal1.png?h=43&w=43&mode=stretch
Vivekanand Business School - [VBS],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1671086639index.jpg?h=43&w=43&mode=stretch
Xavier Institute of Communications - [XIC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1513148862fhtfhjgjhgjhkj.png?h=43&w=43&mode=stretch
National Academy of Event Management & Development- [NAEMD],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1476960511logo 12.jpg?h=43&w=43&mode=stretch
DY Patil University's School of Management - [DYPUSM],"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1474364064download.jpg?h=43&w=43&mode=stretch
Indira Institute of Management - [IIMP],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1501590902lgoedt.png?h=43&w=43&mode=stretch
Ajeenkya DY Patil University,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1605524964Logo.png?h=43&w=43&mode=stretch
Government Dental College & Hospital,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1425029315govt.dental collge.jpg?h=43&w=43&mode=stretch
D.G. Ruparel College of Arts Science and Commerce,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1416813141Capture1.jpg?h=43&w=43&mode=stretch
Mithibai College of Arts,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/15638567570.png?h=43&w=43&mode=stretch
Institute of Hotel Management,"Aurangabad, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1561024031logo1.png?h=43&w=43&mode=stretch
Lexicon MILE - Management Institute of Leadership and Excellence,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/16160615421.jpg?h=43&w=43&mode=stretch
Symbiosis School of Banking and Finance - [SSBF],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/153880525720181005.png?h=43&w=43&mode=stretch
Ramnarain Ruia Autonomous College,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1471412016lgo.png?h=43&w=43&mode=stretch
Indira Global  Business School- [IGBS],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1494933277logo.png?h=43&w=43&mode=stretch
Lala Lajpat Rai Institute of Management - [LLIM],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1503298647mainlogo.jpg?h=43&w=43&mode=stretch
Alard Institute of Management Sciences,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1657605668index.png?h=43&w=43&mode=stretch
Savitribai Phule Pune University - [SPPU],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1483942831uop_logo.jpg?h=43&w=43&mode=stretch
Alkesh Dinesh Mody Institute for Financial and Management Studies,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1500446382mumbaiuniversityresult2015.jpg?h=43&w=43&mode=stretch
Dr DY Patil Vidyapeeth - [DPU],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1394447244Dr. D.Y. Patil Vidyapeeth.png?h=43&w=43&mode=stretch
Govt. Dental College & Hospital - [GDCH],"Nagpur, Maharashtra",https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?h=43&w=43&mode=stretch
Symbiosis Law School - [SLS],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1412081049sym.logo.png?h=43&w=43&mode=stretch
Institute of Business Studies and Research - [IBSAR],"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/15018524541472038707lgg.jpg?h=43&w=43&mode=stretch
Kirloskar Institute of Management - [KIM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/17029017731.jpeg?h=43&w=43&mode=stretch
K J Somaiya College of Arts & Commerce - [KJSAC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1479289303logo.png?h=43&w=43&mode=stretch
B.K Birla College Of Arts Science & Commerce,"Thane, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/col656.jpg?h=43&w=43&mode=stretch
Jai Hind College - [JHC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/150512760931e614b.png?h=43&w=43&mode=stretch
Kishinchand Chellaram College - [KC College],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1479367501KCC Logo glow final.jpg?h=43&w=43&mode=stretch
Symbiosis Institute of Computer Studies and Research - [SICSR],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1506604442download.jpg?h=43&w=43&mode=stretch
Suryadatta Group of Institutes Bavdhan,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1565067376suryadattalogo.jpg?h=43&w=43&mode=stretch
Rajiv Gandhi Institute of Information Technology and Biotechnology - [RGITBT],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1474529983b logo.jpg?h=43&w=43&mode=stretch
Neville Wadia Institute of Management Studies and Research - [NWIMSR],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1471590159logo1.jpg?h=43&w=43&mode=stretch
S. B.  Patil Institute of Management - [SBPIM],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1662186378index.jpg?h=43&w=43&mode=stretch
DY Patil University,"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/14724675431463994216LOGO-jpg.png?h=43&w=43&mode=stretch
Sophia College for Women,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1395122465a1.png?h=43&w=43&mode=stretch
Sasmira's Institute of Management Studies and Research - [SIMSR],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1582785528name2.jpg?h=43&w=43&mode=stretch
