College Name and Place,Logo Link
"{'Name': 'Jawaharlal Institute of Post Graduate Medical Education and Research - [JIPMER]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1568873405jipmerlogo.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry University - [PU]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1503565250logonew1.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry University - [PU]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry University - [PU]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Mahatma Gandhi Medical College and Research Institute', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469793755logo.gandhi.png?h=43&w=43&mode=stretch
"{'Name': 'Mahatma Gandhi Medical College and Research Institute', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Mahatma Gandhi Medical College and Research Institute', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry Institute of Medical Sciences - [PIMS]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1395305169Pondicherry Institute of Medical Sciences.png?h=43&w=43&mode=stretch
"{'Name': 'Sri Manakula Vinayagar Medical College and Hospital - [SMVMCH]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1495706483Logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469623655logo.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Pondicherry Engineering College - [PEC]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Bharathidasan Government College for Women - [BGCW]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469596467logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Pandit Jawaharlal Nehru College of Agriculture & Research Institute - [PAJANCOA & RI]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1486386291indexpajancoaemblem.jpg?h=43&w=43&mode=stretch
"{'Name': 'Mahe Co-Operative College of Teacher Education - [MCCTE]', 'Location': 'Mahe, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1469790555logo mahu.jpg?h=43&w=43&mode=stretch
"{'Name': 'Rajiv Gandhi College of Veterinary & Animal Sciences - [RAGACOVAS]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1484046931download.png?h=43&w=43&mode=stretch
"{'Name': 'Rajiv Gandhi College of Veterinary & Animal Sciences - [RAGACOVAS]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Rajiv Gandhi College of Veterinary & Animal Sciences - [RAGACOVAS]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'National Institute of Technology - [NIT]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1486646065logomin.png?h=43&w=43&mode=stretch
"{'Name': 'National Institute of Technology - [NIT]', 'Location': 'Pondicherry, Puducherry'}",
