College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
IIT Madras (IITM),"Chennai,  Tamil Nadu",AICTE,Estd 1959,Autonomous University,8.5,"IIT Madras is the top technical and research university founded in 1959. IIT Madras has been consistently ranked #1 among the top engineering colleges in India as well as in the overall category. IIT Madras offers more than 100 program via its 19 departments. IIT Madras is located over a sprawling 250 hectares of campus and houses over 550 faculty members, 8000 students, and 1250 administrative and supporting staff. IIT Madras has signed MOUs with several foreign universities for student exchange programs. As per the MoUs signed, students pursuing UG, PG, and Dual Degree programs at the institute spend a semester abroad for broad exposure."
IIM Ahmedabad (IIMA),"Ahmedabad,  Gujarat",UGC,Estd 1961,Autonomous University,9.1,"IIM Ahmedabad, founded in 1961 is the second oldest IIM and is consistently ranked as the best business school of India. IIM Ahmedabad was ranked 1st by NIRF 2023, among the top 100 Indian B-Schools. IIM Ahmedabad is known for its 2 year PGP (MBA) program which offers admissions through CAT. IIM Ahmedabad cutoff remains around 80 percentile in CAT for shortlisting and students with over 99 percentile have a good chance of getting the interview call. IIM Ahmedabad is known for its stellar placements in the Consulting and Finance domain. IIM Ahmedabad MBA fees is 25 Lakhs while IIM Ahmedabad average package stood at INR 32.79 LPA and IIM Ahmedabad highest package stood at INR 1.15 CPA (As per the data researched by Collegedunia) for the 2023 batch making its ROI very high. "
HKBK College of Engineering,"Bangalore,  Karnataka","AICTE, UGC, NBA, AIU",Estd 1997,Private,7.0,"HKBK College of Engineering is ranked among the top-ranking engineering colleges in Bangalore, offering a wide range of undergraduate, postgraduate, and doctoral programs in Engineering & Management. It is affiliated to Visvesvaraya Technological University (VTU), Belgaum and is approved by All India Council for Technical Education, New Delhi. HKBK Institutions has secured prestigious accreditations namely NBA-National Board of Accreditation and NAAC –National Assessment and Accreditation Council. HKBK College of Engineering is rated as one of the 35 best engineering colleges in INDIA. "
IIM Bangalore,"Bangalore,  Karnataka","AICTE, UGC",Estd 1973,Autonomous University,9.2,"IIM Bangalore, established in 1973 is the 2nd best management institute in India, according to NIRF ranking 2023. IIMB Flagship MBA and EMBA program was also ranked 47th  by the FT Global MBA Rankings 2024. IIM Bangalore 2-year MBA program offers admission through CAT. IIM Bangalore cut-off is around 85 percentile. IIM Bangalore MBA fees is INR 24,50,000, while the IIM Bangalore average package stood at INR 35.31 LPA for the 2024 batch."
IIM Calcutta,"Kolkata,  West Bengal",UGC,Estd 1961,Autonomous University,8.8,"IIM Calcutta - Indian Institute of Management, Calcutta is one of the top and oldest IIMs in the Country. IIM Calcutta is renowned for pioneering education in the finance sector. IIM Calcutta is known for its 2-year flagship MBA program, which accepts admission through CAT. IIM Calcutta cut off is 85 percentile, however candidates scoring 96-99 percentile or higher are considered for admission."
IIT Delhi (IITD),"New Delhi,  Delhi NCR",,Estd 1961,Autonomous University,8.7,"IIT Delhi is India’s top Engineering and Research institution. IIT Delhi was established in 1961 and has a sprawling green campus of 320 Acres in Hauz Khas region of New Delhi, the National capital of India. The institute has 2 other satellite campuses located in Sonipat and Jhajjar. IIT Delhi Abu Dhabi campus is yet to be inaugurated and is expected to start courses soon. Globally, QS World University Ranking 2024 ranks IIT Delhi on 197. NIRF 2023 ranking of IIT Delhi stands at 2nd in the Engineering category. Also, the college ranks on top, i.e. #1 in India Today Engineering Ranking 2023."
XLRI Jamshedpur,"Jamshedpur,  Jharkhand","AICTE, NBA, AACSB, AMBA",Estd 1949,Private,8.9,"XLRI is one of the oldest B-schools in India, established in 1949 by a few visionary Jesuit Fathers. XLRI was ranked 9th by NIRF 2023 among the top management institutes in India. XLRI offers PGDM - BM and PGDM - HRM as its Flagship Program. Admission to the program is based on XAT scores followed by a Personal Interview and / or Group Discussions."
IIT Bombay (IITB),"Mumbai,  Maharashtra","AICTE, UGC",Estd 1958,Autonomous University,8.8,"IIT Bombay is a public technical university, located in Powai, Mumbai. The college was established in 1958 over a campus area of 545 acres of land. IIT Bombay is the first public research university and technical institute to be founded with foreign assistance (Soviet). NIRF 2023 ranks IIT Bombay on 3rd in the engineering category. IITB offers 200+ UG, PG, and research Courses via its 17 departments. IIT Bombay’s BTech is its flagship course and JEE Advanced score is required for admission."
FMS Delhi,"New Delhi,  Delhi NCR",AICTE,Estd 1954,Public,7.8,
SP Jain (SPJIMR),"Mumbai,  Maharashtra","AICTE, NBA, AACSB, AMBA",Estd 1981,Private,8.4,
