,College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
0,IIT Madras (IITM),"Chennai,  Tamil Nadu",AICTE,Estd 1959,Autonomous University,8.5,"IIT Madras is the top technical and research university founded in 1959. IIT Madras has been consistently ranked #1 among the top engineering colleges in India as well as in the overall category. IIT Madras offers more than 100 program via its 19 departments. IIT Madras is located over a sprawling 250 hectares of campus and houses over 550 faculty members, 8000 students, and 1250 administrative and supporting staff. IIT Madras has signed MOUs with several foreign universities for student exchange programs. As per the MoUs signed, students pursuing UG, PG, and Dual Degree programs at the institute spend a semester abroad for broad exposure."
1,IIM Ahmedabad (IIMA),"Ahmedabad,  Gujarat",UGC,Estd 1961,Autonomous University,9.1,"IIM Ahmedabad, founded in 1961 is the second oldest IIM and is consistently ranked as the best business school of India. IIM Ahmedabad was ranked 1st by NIRF 2023, among the top 100 Indian B-Schools. IIM Ahmedabad is known for its 2 year PGP (MBA) program which offers admissions through CAT. IIM Ahmedabad cutoff remains around 80 percentile in CAT for shortlisting and students with over 99 percentile have a good chance of getting the interview call. IIM Ahmedabad is known for its stellar placements in the Consulting and Finance domain. IIM Ahmedabad MBA fees is 25 Lakhs while IIM Ahmedabad average package stood at INR 32.79 LPA and IIM Ahmedabad highest package stood at INR 1.15 CPA (As per the data researched by Collegedunia) for the 2023 batch making its ROI very high. "
2,HKBK College of Engineering,"Bangalore,  Karnataka","AICTE, UGC, NBA, AIU",Estd 1997,Private,7.0,"HKBK College of Engineering is ranked among the top-ranking engineering colleges in Bangalore, offering a wide range of undergraduate, postgraduate, and doctoral programs in Engineering & Management. It is affiliated to Visvesvaraya Technological University (VTU), Belgaum and is approved by All India Council for Technical Education, New Delhi. HKBK Institutions has secured prestigious accreditations namely NBA-National Board of Accreditation and NAAC –National Assessment and Accreditation Council. HKBK College of Engineering is rated as one of the 35 best engineering colleges in INDIA. "
3,IIM Bangalore,"Bangalore,  Karnataka","AICTE, UGC",Estd 1973,Autonomous University,9.2,"IIM Bangalore, established in 1973 is the 2nd best management institute in India, according to NIRF ranking 2023. IIMB Flagship MBA and EMBA program was also ranked 47th  by the FT Global MBA Rankings 2024. IIM Bangalore 2-year MBA program offers admission through CAT. IIM Bangalore cut-off is around 85 percentile. IIM Bangalore MBA fees is INR 24,50,000, while the IIM Bangalore average package stood at INR 35.31 LPA for the 2024 batch."
4,IIM Calcutta,"Kolkata,  West Bengal",UGC,Estd 1961,Autonomous University,8.8,"IIM Calcutta - Indian Institute of Management, Calcutta is one of the top and oldest IIMs in the Country. IIM Calcutta is renowned for pioneering education in the finance sector. IIM Calcutta is known for its 2-year flagship MBA program, which accepts admission through CAT. IIM Calcutta cut off is 85 percentile, however candidates scoring 96-99 percentile or higher are considered for admission."
5,IIT Delhi (IITD),"New Delhi,  Delhi NCR",,Estd 1961,Autonomous University,8.7,"IIT Delhi is India’s top Engineering and Research institution. IIT Delhi was established in 1961 and has a sprawling green campus of 320 Acres in Hauz Khas region of New Delhi, the National capital of India. The institute has 2 other satellite campuses located in Sonipat and Jhajjar. IIT Delhi Abu Dhabi campus is yet to be inaugurated and is expected to start courses soon. Globally, QS World University Ranking 2024 ranks IIT Delhi on 197. NIRF 2023 ranking of IIT Delhi stands at 2nd in the Engineering category. Also, the college ranks on top, i.e. #1 in India Today Engineering Ranking 2023."
6,XLRI Jamshedpur,"Jamshedpur,  Jharkhand","AICTE, NBA, AACSB, AMBA",Estd 1949,Private,8.9,"XLRI is one of the oldest B-schools in India, established in 1949 by a few visionary Jesuit Fathers. XLRI was ranked 9th by NIRF 2023 among the top management institutes in India. XLRI offers PGDM - BM and PGDM - HRM as its Flagship Program. Admission to the program is based on XAT scores followed by a Personal Interview and / or Group Discussions."
7,IIT Bombay (IITB),"Mumbai,  Maharashtra","AICTE, UGC",Estd 1958,Autonomous University,8.8,"IIT Bombay is a public technical university, located in Powai, Mumbai. The college was established in 1958 over a campus area of 545 acres of land. IIT Bombay is the first public research university and technical institute to be founded with foreign assistance (Soviet). NIRF 2023 ranks IIT Bombay on 3rd in the engineering category. IITB offers 200+ UG, PG, and research Courses via its 17 departments. IIT Bombay’s BTech is its flagship course and JEE Advanced score is required for admission."
8,FMS Delhi,"New Delhi,  Delhi NCR",AICTE,Estd 1954,Public,7.8,
9,SP Jain (SPJIMR),"Mumbai,  Maharashtra","AICTE, NBA, AACSB, AMBA",Estd 1981,Private,8.4,
10,IIT Kharagpur (IITKGP),"Kharagpur,  West Bengal","AICTE, UGC",Estd 1951,Autonomous University,8.7,
11,IIM Lucknow (IIML),"Lucknow,  Uttar Pradesh","UGC, AACSB, AMBA",Estd 1984,Autonomous University,8.5,"IIM Lucknow is the 4th IIM to be established by the Government of India in 1984. IIM Lucknow mentors the newly established IIM Jammu, IIM Rohtak and IIM Kashipur. IIM Lucknow is widely known for its academic excellence, diverse student community, and strong industry interface. IIM Lucknow was ranked 6th by NIRF 2023 and 6th by IIRF 2024 in the Management Category. The Institute also secured 85th Rank in FT Global MBA 2024 Rankings. The institute provides international exposure to its students through international exchange programs and international competitions."
12,IIT Kanpur (IITK),"Kanpur,  Uttar Pradesh",UGC,Estd 1959,Autonomous University,8.8,Table of Content
13,IIM Indore,"Indore,  Madhya Pradesh",AMBA,Estd 1996,Autonomous University,8.7,"IIM Indore is one of the prestigious management institutes established in 1996. IIM Indore has been ranked 8th by NIRF 2023. IIM Indore EPGP program has been awarded 89th rank among the Top 100 Global MBA courses by FT Ranking 2023. IIM Indore offers PGP, Executive PGP, PhD in the field of management. IIM Indore MBA fees is INR 21.17 Lakhs."
14,IIM Kozhikode (IIMK),"Kozhikode,  Kerala","AACSB, AMBA",Estd 1996,Autonomous University,8.5,"IIM Kozhikode is one of the premier management institutes established in 1996, by the Government of India. IIM Kozhikode ranks 3rd by NIRF 2023 among the top B-Schools in India. IIM Kozhikode offers admission to its 2-year flagship PGP program, through CAT. IIM Kozhikode cut-off is 85 percentile (Overall) and the sectional cutoff is 75 percentile, yet candidates with a 98 percentile or higher have a better chance of being selected for the Interview. IIM Kozhikode MBA fees is INR 20.50 lakh, whereas IIM Kozhikode average package stood at INR 31.02 LPA."
15,IIT Roorkee (IITR),"Roorkee,  Uttarakhand","AICTE, UGC",Estd 1847,Autonomous University,8.7,"IIT Roorkee is an autonomous technical and research University located in Roorkee, Uttarakhand. Established in 1847 as Thomason College of Civil Engineering, IIT Roorkee is Asia's oldest technical university. The main campus of IIT Roorkee is located in Roorkee, Haridwar District over an area of 358.5 acres. IIT Roorkee also has 2 other campuses, one in Saharanpur (around 30 Km from Roorkee) and another one in Greater Noida. IIT Roorkee is ranked as #1 in the top architecture colleges in India by NIRF 2023. In the engineering category, IIT Roorkee has been ranked 5th in NIRF 2023 Ranking. "
16,JBIMS,"Mumbai,  Maharashtra",AICTE,Estd 1965,Private,8.1,JBIMS is one of the oldest B-schools in India with a legacy of over 52 years. JBIMS was established in 1965 by the University of Mumbai. JBIMS has been consistently ranked among the top 10 premier B-Schools in India and it continues to hold a 10th rank in Outlook 2023 among the top Govt. B-Schools. JBIMS was the first institute in India to provide a full-time 2-year Master in Management Studies (MMS). JBIMS is known for its low fees and its distinguished alumni base. JBIMS MMS fee is INR 6.10 lakhs whereas the JBIMS average package stood at INR 28.02 LPA and JBIMS highest package stood at INR 35.75 LPA in the 2023 placement drive. 
17,IIFT Delhi,"New Delhi,  Delhi NCR",,Estd 1963,Deemed to be University,9.0,"IIFT Delhi is one of the premier B-schools in India, offering specialized programs in International Business and Business Analytics. Established in 1963 by the Government of India, IIFT Delhi is an autonomous institution that operates under the Ministry of Commerce and Industry. IIFT Delhi has been conferred the status of Deemed to be University and is expected to receive the Institute of National Importance (INI) status soon."
18,BITS Pilani,"Pilani,  Rajasthan",UGC,Estd 1964,Deemed to be University,8.8,BITS Pilani Cutoff for the year 2024 is expected to be out in July-August. BITS Pilani admission to its flagship BE(Hons) program on the basis of Cutoff rank scored by the candidate in the BITSAT exam. Given below are the BITS Pilani BE cutoff analysis for the past 3 years for the general category:
