College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
GIM (Goa Institute of Management),"North Goa,  Goa","AICTE, NBA, AIU",Estd 1993,Private,8.6,"Goa Institute of Management, or popularly known as GIM Goa is a premier B-School known for offering PGDM as its flagship program. The institute is often considered a very good alternative for MBA for aspirants looking to get into colleges which are not as difficult as IIMs and other top MBA colleges but offer similar returns. GIM Goa’s NIRF 2023 rank is 33. Admission is done through CAT/ XAT/ GMAT however a majority of the aspirants gets admitted through CAT making it the most preferred exam. GIM Goa PGDM fees is INR 19.40 Lakhs for 2 year whereas GIM Goa average package stood at INR 14.7 LPA."
"Institute Of Hotel Management Catering Technology and Applied Nutrition - [IHM], North Goa, Goa","North Goa,  Goa",NCHMCT,Estd 1968,Public (Autonomous),8.2,"Institute Of Hotel Management Catering Technology and Applied Nutrition, Goa is an autonomous institute established in 1984. Affiliated to National Council for Hotel Management and Catering Technology, Noida (NCHMCT), the Institute offers various undergraduate, diploma and certificate courses across various specializations. The institute imparts education to the students in the hospitality industry. Admissions to B.Sc courses are entrance based(NCHM-JEE) whereas admissions to Craftsmanship courses are merit based."
"Goa College of Pharmacy, Panji","Panji,  Goa","AICTE, PCI",Estd 1963,Public,5.2,
"VM Salgaocar College of Law, Panji","Panji,  Goa",BCI,Estd 1973,Private,8.0,
St. Xaviers College Goa,"Bardez,  Goa",UGC,Estd 1963,Private,7.6,
NIT Goa (NITG),"South Goa,  Goa","AICTE, UGC",Estd 2010,Autonomous University,7.5,"NIT Goa is an autonomous technical university located in Concolim, South Goa. The institute is one of India's 31 National Institutes of Technology and is recognized as an Institute of National Importance. NIT Goa is ranked on 90th in India’s top Engineering college category by NIRF 2023. NIT Goa offers 5 Btech Courses, 3 MTech Courses and 5 PhD Courses. The flagship program of the institute is BTech and Admission to the course is based on JEE Main rank. The seat allocation for BTech courses is done via JoSAA Counselling. IIT Goa offers BTech admissions in 2 categories i.e Home State (HS) and Other State categories. The total fees of BTech program at NIT Goa is INR 5.33 Lakhs and the average package is INR 10.87 LPA. Over 160 recruiters took part in the NIT Goa placement campaign. Infosys, Publicis Sapient, MAQ Software, HDFC Bank, JSW, and other notable recruiters were among them."
"ICAR-Central Coastal Agricultural Research Institute -  [CCARI], North Goa","North Goa,  Goa",ICAR,Estd 1976,Public,,
"Goa College of Architecture, Panji","Panji,  Goa",AICTE,Estd 1982,Public,3.3,Goa College of Architecture was established back in 1982. It is the only institute in Goa offering Bachelor studies in Architecture. It offers B.Arch and M.Arch courses. The admission is based on the NATA entrance exam. The minimum eligibility required to apply for admission is 50% aggregate marks in the previous qualifying examination in the relevant subject. The application process is offline.
"Ann Institute of Hotel Management and Catering Technology, North Goa","North Goa,  Goa","NCHMCT, UGC",Estd 1999,Private,,
IIT Goa,"Ponda,  Goa",UGC,Estd 2016,Autonomous University,8.4,"IIT Goa is the youngest IIT, established in the year 2016. Indian Institute of Technology Goa (IIT Goa) is an autonomous public university located in Goa. Currently, IIT Goa is functioning from its temporary campus of GEC, Farmagudi, Ponda. IIT at Goa began operating in July 2016 on a temporary campus housed at Goa Engineering College (GEC), ever since an IIT was allocated to Goa by the Central government in 2014. In Sattari, North Goa, IIT Goa is currently building its permanent campus."
BITS Pilani Goa,"South Goa,  Goa",UGC,Estd 2004,Deemed University,8.6,Table of Content
"Goa College of Engineering - [GEC], Ponda","Ponda,  Goa","AICTE, NBA",Estd 1967,Public,7.5,"Goa College of Engineering, Goa commonly known as GEC was established in 1967 mainly for providing technical education in the field of Engineering. Currently, the college offers UG in 7 streams of B.E. (Bachelor of Engineering), PG in 9 streams of M.E. (Master of Engineering), and 5 streams in Ph.D."
"Government College of Arts Science and Commerce Sanquelim, North Goa","North Goa,  Goa",UGC,Estd 1988,Government,8.5,
"Padre Conceicao College of Engineering, Salcete","Salcete,  Goa",AICTE,Estd 1997,Private,6.6,
"National Centre for Antarctic and Ocean Research - [NCAOR], South Goa","South Goa,  Goa",UGC,Estd 1998,Public (Autonomous),9.2,
"Shree Rayeshwar Institute of Engineering and Information Technology, North Goa","North Goa,  Goa",AICTE,Estd 2001,Private,6.6,
"Sri Sri Institute of Management Studies - [SSIMS], South Goa","South Goa,  Goa",AICTE,Estd 1999,Private Institute,,
"Sridora Caculo College of Commerce and Management Studies - [SCCCMS], Bardez","Bardez,  Goa","AICTE, UGC",Estd 1991,Private,7.3,
"CES College of Arts and Commerce, Salcete","Salcete,  Goa",UGC,Estd 1987,Private,,
"Carmel College for Women, Salcete","Salcete,  Goa",UGC,Estd 1964,Private,7.7,
"DCT’s Dhempe College of Arts and Science, Panji","Panji,  Goa",UGC,Estd 1962,Private,7.3,
"Dnyanprassarak Mandal's College of Arts Science Commerce Management Studies & Technology, Bardez","Bardez,  Goa",UGC,Estd 1974,Private,6.6,
"Government College of Arts Science and Commerce Quepem, North Goa","North Goa,  Goa",,Estd 1989,Government,8.0,
"Murgaon Education Societys College of Arts and Commerce - [MES], North Goa","North Goa,  Goa",,Estd 1971,Private,8.3,
"Rosary College of Commerce and Arts, Salcete","Salcete,  Goa",,Estd 1999,Private,7.4,
"Shree Maliikarjun College of Arts and Commerce, South Goa","South Goa,  Goa",UGC,Estd 1993,Private,9.5,
"Parvatibai Chowgule College of Arts and Science, Salcete","Salcete,  Goa",,Estd 1962,Private (Autonomous),7.6,"Parvatibai Chowgule College of Science and Arts popularly known as Chowgule College is the first and only autonomous college in the state of Goa. The college has been placed in the 101-150th rank bank in the NIRF India Rankings 2018. Recently, it was selected in the DBT Star Scheme of the Government of India. It was also awarded the Best Internship Partner Award at the Goa Rugby Awards 2018. "
