College Name,Logo URL,Upper Section Details,College Rating,College Summary,Fees and Eligibility
Sikkim Manipal Institute of Medical Sciences,https://images.collegedunia.com/public/college_data/images/logos/1474115196photo.jpg1.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'MCI', 'Establishment': 'Estd 1997', 'University Type': 'Private'}",7.2,,"[{'Course': 'B.Sc', 'Fees': '₹1.22 Lakhs (1st Year Fees) ', 'Eligibility': '10+2'}]"
"ICFAI University, Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1482816709logo_sikkim.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'BCI, UGC, DEB', 'Establishment': 'Estd 2004', 'University Type': 'Deemed University'}",6.9,This university is famous for international tie-ups and industry collaborations for students.  It is one of the top-ranked private universities. University is also a member of AIU.,"[{'Course': 'B.Com {Hons.}', 'Fees': '₹52,000 (1st Year Fees) ', 'Eligibility': '10+2'}]"
"National Research Centre for Orchids - [ICAR], East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1422251501logogff.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'ICAR', 'Establishment': 'Estd 1996', 'University Type': 'Public Institute'}",,,"[{'Course': 'M.Tech', 'Fees': '₹93,310 (1st Year Fees) ', 'Eligibility': 'Graduation + GATE'}]"
NIT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1568355249download.png?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': 'AICTE, UGC', 'Establishment': 'Estd 2010', 'University Type': 'Autonomous University'}",7.8,"NIT Sikkim is UGC recognised autonomous university. Established in 2010, NIT Sikkim is ranked 151 in the engineering category by NIRF 2023. NIT Sikkim offers undergraduate, postgraduate and doctorate degrees. NIT Sikkim has been accorded the status of an Institution of National Importance by the Government of India and approved by AICTE. The most popular program of NIT Sikkim is BTech CSE. NIT Sikkim offers 8 specialization in the BTech course. Admission to the NIT Sikkim BTech course is done on the basis of JEE Mains rank. The admission procedure is then followed by a counselling procedure. The overall cutoff for JEE-Main 2023 is 162246 - 475866 rank for general category. Check: NIT Sikkim Admission","[{'Course': 'B.Com', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}]"
"Vinayaka Missions Sikkim University - [VMSU], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1428918165jpeg.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2008', 'University Type': 'Private University'}",7.8,"Vinayaka Missions Sikkim University (VMSU)  was set up in the year 2008, and it is approved by UGC. The latest achievement of the college includes the “Teaching Excellence Award.” This university is primarily famous for Management Studies, Humanities, and Science. It provides both the mode of education facilities direct education and distance education. The university offers undergraduate, postgraduate, doctorate, and diplomas courses across four streams. Some of the popular courses are BA, B.Com, MBA, B.Sc.The admission in this college strictly depends upon the merit of the students. Application to the college can be filled online as well as offline mode.","[{'Course': 'M.Com', 'Fees': '₹55,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}]"
"SRM University Sikkim, Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1506504412images.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2013', 'University Type': 'Private University'}",8.1,"Shri Ramasamy Memorial University - [SRM], Sikkim at Gangtok is a private university established in the year 2013. The university was established under Shri Ramasamy Memorial University, Sikkim Act 2013. It is affiliated by UGC and NAAC-B. It is also placed in the A category by the Ministry of Human Resource Development. ","[{'Course': 'M.Com', 'Fees': '₹7,852 (1st Year Fees) ', 'Eligibility': 'Graduation'}]"
SMIT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1611209243smitlogosmall1png.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, NBA', 'Establishment': 'Estd 1997', 'University Type': 'Private'}",8.7,,"[{'Course': 'BBA', 'Fees': '₹36,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50% marks'}]"
CAEPHT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1561534392croppedlogote1467129688972.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2006', 'University Type': 'Public'}",6.5,,
"Sikkim Manipal College of Physiotherapy - [SMCPT], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1474012647photo.jpg1.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'IAP', 'Establishment': 'Estd 2001', 'University Type': 'Private'}",8.5,,
Sikkim University,https://images.collegedunia.com/public/college_data/images/logos/1394440204Sikkim University.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2007', 'University Type': 'Central University'}",7.9,"Sikkim University is a central university located in Gangtok. Established in 2007, the university is recognised by the UGC and ranked 151 among top 2000 universities in NIRF 2023 rankings. The permanent campus of Sikkim University is built at Yangang in Namchi district, about 56 km from Gangtok.",
