College Name,Logo URL,Upper Section Details,College Rating,College Summary,Fees and Eligibility,Courses Details
Sikkim Manipal Institute of Medical Sciences,https://images.collegedunia.com/public/college_data/images/logos/1474115196photo.jpg1.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'MCI', 'Establishment': 'Estd 1997', 'University Type': 'Private'}",7.2,,"[{'Course': 'MBBS', 'Fees': '₹17.2 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 50% + NEET'}, {'Course': 'M.D', 'Fees': '₹5 Lakhs (1st Year Fees) ', 'Eligibility': 'MBBS  + NEET'}, {'Course': 'B.Sc + M.Sc', 'Fees': '₹98,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Sc', 'Fees': '₹1.03 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'M.S', 'Fees': '₹28.8 Lakhs (1st Year Fees) ', 'Eligibility': 'MBBS + NEET'}, {'Course': 'B.Sc', 'Fees': '₹1.22 Lakhs (1st Year Fees) ', 'Eligibility': '10+2'}]","[{'CN': 'M.B.B.S.', 'CY': '4 Years 6 Months', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.9', 'EA': 'NEET', 'AD': '-', 'AF': '₹ 1,720,0001st Yr Fees'}, {'CN': 'Doctorate of Medicine [MD]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': 'Rated #36\n          out of 57\n          by\n        India Today in Medical', 'EA': '-', 'AD': '-', 'AF': '₹ 500,0001st Yr Fees'}, {'CN': 'Bachelor of Science [B.Sc] + Master of Science [M.Sc] (Medical Biotechnology)', 'CY': '5 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': 'Rated #36\n          out of 57\n          by\n        India Today in Medical', 'EA': '-', 'AD': '-', 'AF': '₹ 98,0001st Yr Fees'}, {'CN': 'Master of Science [M.Sc]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '3.0', 'EA': '-', 'AD': '25 July - 25 Sept 2024', 'AF': '₹ 102,8001st Yr Fees'}, {'CN': 'Master of Surgery [MS]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': 'Rated #36\n          out of 57\n          by\n        India Today in Medical', 'EA': '-', 'AD': '-', 'AF': '₹ 2,880,0001st Yr Fees'}]"
"ICFAI University, Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1482816709logo_sikkim.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'BCI, UGC, DEB', 'Establishment': 'Estd 2004', 'University Type': 'Deemed University'}",6.9,This university is famous for international tie-ups and industry collaborations for students.  It is one of the top-ranked private universities. University is also a member of AIU.,"[{'Course': 'MBA', 'Fees': '₹1.62 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BA {Hons.}', 'Fees': '₹52,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BBA', 'Fees': '₹66,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'B.Sc', 'Fees': '₹66,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BCA', 'Fees': '₹72,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'MA', 'Fees': '₹70,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'B.Com {Hons.}', 'Fees': '₹52,000 (1st Year Fees) ', 'Eligibility': '10+2'}]","[{'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '6.8', 'EA': 'CUET PG', 'AD': '10 Feb 2024', 'AF': '₹ 162,0001st Yr Fees'}, {'CN': 'Bachelor of Arts [BA] {Hons.}', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.7', 'EA': '-', 'AD': '16 Sept 2024', 'AF': '₹ 52,0001st Yr Fees'}, {'CN': 'Bachelor of Science [B.Sc] (Culinary Arts)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '16 Sept 2024', 'AF': '₹ 66,0001st Yr Fees'}, {'CN': 'Bachelor of Business Administration [BBA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '6.3', 'EA': '-', 'AD': '16 Sept 2024', 'AF': '₹ 66,0001st Yr Fees'}, {'CN': 'Bachelor of Computer Applications [BCA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '6.8', 'EA': '-', 'AD': '16 Sept 2024', 'AF': '₹ 72,0001st Yr Fees'}]"
"National Research Centre for Orchids - [ICAR], East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/1422251501logogff.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'ICAR', 'Establishment': 'Estd 1996', 'University Type': 'Public Institute'}",,,--------------,"[{'CN': 'Ph.D. (Agriculture)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}]"
Sikkim Manipal University,https://images.collegedunia.com/public/college_data/images/logos/1649923194smulogo2020.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, INC, MCI, UGC', 'Establishment': 'Estd 1992', 'University Type': 'Private University'}",8.0,"Sikkim Manipal University is recognised by the University Grants Commission (UGC) and the All India Council of Technical Education (AICTE). It was established in 1995 in Gangtok, Sikkim. Sikkim Manipal University (SMU) offers 16 undergraduate, 18 postgraduate, diploma in medical biotechnology, and doctoral courses in all fields. Sikkim Manipal University has divided these courses in the two campuses- Sikkim Manipal Institute of Technology (SMIT) and Sikkim Manipal Institute of Medical Sciences (SMIMS). Sikkim Manipal University course admissions are based on both merit and entrance exams.","[{'Course': 'MBBS', 'Fees': '₹17.2 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 50%'}, {'Course': 'MBA', 'Fees': '₹2.8 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation with 50%'}, {'Course': 'BCA', 'Fees': '₹98,000 (1st Year Fees) ', 'Eligibility': '10+2 with 50%'}, {'Course': 'B.Tech', 'Fees': '₹3.25 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 50%'}, {'Course': 'Ph.D', 'Fees': '₹40,000 (1st Year Fees) ', 'Eligibility': 'Post Graduation'}, {'Course': 'M.Sc', 'Fees': '₹1.31 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'M.Tech', 'Fees': '₹1.84 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation  with 55%'}]","[{'CN': 'M.B.B.S.', 'CY': '4 Years 6 Months', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'NEET', 'AD': '-', 'AF': '₹ 1,720,0001st Yr Fees'}, {'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '7.4', 'EA': 'CAT', 'AD': '-', 'AF': '₹ 280,0001st Yr Fees'}, {'CN': 'Bachelor of Computer Applications [BCA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.2', 'EA': '-', 'AD': '-', 'AF': '₹ 98,0001st Yr Fees'}, {'CN': 'Bachelor of Technology [B.Tech]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.0', 'EA': '-', 'AD': '-', 'AF': '₹ 325,0001st Yr Fees'}, {'CN': 'Master of Computer Applications [M.C.A]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '7.1', 'EA': '-', 'AD': '-', 'AF': '₹ 155,0001st Yr Fees'}]"
NIT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1568355249download.png?h=80&w=80&mode=stretch,"{'Place': 'South Sikkim,  Sikkim', 'Approval': 'AICTE, UGC', 'Establishment': 'Estd 2010', 'University Type': 'Autonomous University'}",7.8,"NIT Sikkim is UGC recognised autonomous university. Established in 2010, NIT Sikkim is ranked 151 in the engineering category by NIRF 2023. NIT Sikkim offers undergraduate, postgraduate and doctorate degrees. NIT Sikkim has been accorded the status of an Institution of National Importance by the Government of India and approved by AICTE. The most popular program of NIT Sikkim is BTech CSE. NIT Sikkim offers 8 specialization in the BTech course. Admission to the NIT Sikkim BTech course is done on the basis of JEE Mains rank. The admission procedure is then followed by a counselling procedure. The overall cutoff for JEE-Main 2023 is 162246 - 475866 rank for general category. Check: NIT Sikkim Admission","[{'Course': 'B.Tech', 'Fees': '₹1.51 Lakhs (1st Year Fees) ', 'Eligibility': '10+2 with 75% + JEE Main'}, {'Course': 'Ph.D', 'Fees': '₹44,650 (1st Year Fees) ', 'Eligibility': 'Post Graduation'}, {'Course': 'M.Sc', 'Fees': '₹39,100 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'M.Tech', 'Fees': '₹93,310 (1st Year Fees) ', 'Eligibility': 'Graduation + GATE'}]","[{'CN': 'Bachelor of Technology [B.Tech]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.9', 'EA': 'JEE Main', 'AD': '19 June - 31 Jul 2024', 'AF': '₹ 150,9301st Yr Fees'}, {'CN': 'Ph.D', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Doctorate/M.Phil', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 44,6501st Yr Fees'}, {'CN': 'Master of Science [M.Sc] (Chemistry)', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': 'IIT JAM', 'AD': '5 June - 26 Jun 2024', 'AF': '₹ 39,1001st Yr Fees'}, {'CN': 'Master of Technology [M.Tech]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '8.7', 'EA': 'GATE', 'AD': '5 June - 26 Jun 2024', 'AF': '₹ 93,3101st Yr Fees'}]"
"Vinayaka Missions Sikkim University - [VMSU], Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1428918165jpeg.jpg?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2008', 'University Type': 'Private University'}",7.8,"Vinayaka Missions Sikkim University (VMSU)  was set up in the year 2008, and it is approved by UGC. The latest achievement of the college includes the “Teaching Excellence Award.” This university is primarily famous for Management Studies, Humanities, and Science. It provides both the mode of education facilities direct education and distance education. The university offers undergraduate, postgraduate, doctorate, and diplomas courses across four streams. Some of the popular courses are BA, B.Com, MBA, B.Sc.The admission in this college strictly depends upon the merit of the students. Application to the college can be filled online as well as offline mode.","[{'Course': 'BA', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'B.Sc', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'D.Pharm', 'Fees': '₹1.76 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'MBA', 'Fees': '₹1.62 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'BBA', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}, {'Course': 'B.Com', 'Fees': '₹1.18 Lakhs (Total Fees) ', 'Eligibility': 'Apply Now '}]","[{'CN': 'Bachelor of Arts [BA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 118,000Total Fees'}, {'CN': 'Bachelor of Science [B.Sc]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 118,000Total Fees'}, {'CN': 'Diploma in Pharmacy [D.Pharm]', 'CY': '2 Years', 'CD': 'Diploma', 'CG': '10+2', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 176,000Total Fees'}, {'CN': 'Bachelor of Computer Applications [BCA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '7.7', 'EA': '-', 'AD': '-', 'AF': '₹ 162,000Total Fees'}]"
"SRM University Sikkim, Gangtok",https://images.collegedunia.com/public/college_data/images/logos/1506504412images.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': 'UGC', 'Establishment': 'Estd 2013', 'University Type': 'Private University'}",8.1,"Shri Ramasamy Memorial University - [SRM], Sikkim at Gangtok is a private university established in the year 2013. The university was established under Shri Ramasamy Memorial University, Sikkim Act 2013. It is affiliated by UGC and NAAC-B. It is also placed in the A category by the Ministry of Human Resource Development. ","[{'Course': 'B.Sc', 'Fees': '₹43,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'MBA', 'Fees': '₹1.3 Lakhs (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'MA', 'Fees': '₹55,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}, {'Course': 'BA {Hons.}', 'Fees': '₹38,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BCA', 'Fees': '₹60,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'BBA', 'Fees': '₹60,000 (1st Year Fees) ', 'Eligibility': '10+2'}, {'Course': 'M.Com', 'Fees': '₹55,000 (1st Year Fees) ', 'Eligibility': 'Graduation'}]","[{'CN': 'Bachelor of Science [B.Sc]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '6.7', 'EA': '-', 'AD': '-', 'AF': '₹ 43,0001st Yr Fees'}, {'CN': 'Master of Business Administration [MBA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 130,0001st Yr Fees'}, {'CN': 'Master of Arts [MA]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': '₹ 55,0001st Yr Fees'}, {'CN': 'Bachelor of Arts [BA] {Hons.} (English)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '9.0', 'EA': '-', 'AD': '-', 'AF': '₹ 38,0001st Yr Fees'}, {'CN': 'Bachelor of Computer Applications [BCA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '7.3', 'EA': '-', 'AD': '-', 'AF': '₹ 60,0001st Yr Fees'}]"
SMIT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1611209243smitlogosmall1png.png?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, NBA', 'Establishment': 'Estd 1997', 'University Type': 'Private'}",8.7,,--------------,"[{'CN': 'Bachelor of Technology [B.Tech]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.5', 'EA': 'JEE Main', 'AD': '15 Nov - 12 Apr 2024', 'AF': '₹ 340,0001st Yr Fees'}, {'CN': 'Bachelor of Computer Applications [BCA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '9.0', 'EA': '-', 'AD': '15 Nov - 10 Jun 2024', 'AF': '₹ 110,0001st Yr Fees'}, {'CN': 'Master of Computer Applications [M.C.A]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '15 Nov - 25 Jun 2024', 'AF': '₹ 160,0001st Yr Fees'}, {'CN': 'Master of Science [M.Sc]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '9.0', 'EA': '-', 'AD': '15 Nov - 09 Jul 2024', 'AF': '₹ 105,0001st Yr Fees'}, {'CN': 'Master of Technology [M.Tech]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '9.6', 'EA': 'GATE', 'AD': '15 Nov - 09 Jul 2024', 'AF': '₹ 190,0001st Yr Fees'}]"
CAEPHT Sikkim,https://images.collegedunia.com/public/college_data/images/logos/1561534392croppedlogote1467129688972.png?h=80&w=80&mode=stretch,"{'Place': 'Gangtok,  Sikkim', 'Approval': '', 'Establishment': 'Estd 2006', 'University Type': 'Public'}",6.5,,--------------,"[{'CN': 'Bachelor of Technology [B.Tech]', 'CY': '4 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.0', 'EA': '-', 'AD': '-', 'AF': '₹ 4,2801st Yr Fees'}, {'CN': 'Master of Technology [M.Tech]', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '4.3', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Ph.D', 'CY': '2 Years', 'CD': 'Degree', 'CG': 'Post Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}]"
"Damber Singh College, East Sikkim",https://images.collegedunia.com/public/college_data/images/logos/col949.jpg?h=80&w=80&mode=stretch,"{'Place': 'East Sikkim,  Sikkim', 'Approval': 'AICTE, UGC', 'Establishment': 'Estd 1994', 'University Type': 'Private Institute'}",8.0,,--------------,"[{'CN': 'Bachelor of Library and Information Science [B.Lib.I.Sc]', 'CY': '1 Year', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.0', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Science [B.Sc] (Information Technology)', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Arts [BA]', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.0', 'EA': '-', 'AD': '-', 'AF': ''}, {'CN': 'Bachelor of Arts [BA] {Hons.}', 'CY': '3 Years', 'CD': 'Degree', 'CG': 'Graduation', 'CT': 'Full Time', 'CR': '8.0', 'EA': '-', 'AD': '-', 'AF': ''}]"
