,Country,Universities Names,University Place
1, Canada,"University of Toronto, Toronto","Ontario, Canada"
2, Canada,"The University of British Columbia, Vancouver","British Columbia, Canada"
3, Canada,"McGill University, Montreal","Quebec, Canada"
4, Canada,"McMaster University, Hamilton","Ontario, Canada"
5, Canada,"University of Alberta, Edmonton","Alberta, Canada"
6, Canada,"University of Montreal, Montreal","Quebec, Canada"
7, Canada,"University of Waterloo, Waterloo","Ontario, Canada"
8, Canada,"University of Ottawa, Ottawa","Ontario, Canada"
9, Canada,"University of Calgary, Calgary","Alberta, Canada"
10, Canada,"Western University, London","Ontario, Canada"
11, Canada,"Queen's University, Kingston","Ontario, Canada"
12, Canada,"Simon Fraser University, Burnaby","British Columbia, Canada"
13, Canada,"Laval University, Quebec City","Quebec, Canada"
14, Canada,"Dalhousie University, Halifax","Nova Scotia, Canada"
15, Canada,"University of Manitoba, Winnipeg","Manitoba, Canada"
16, Canada,"University of Saskatchewan, Saskatoon","Saskatchewan, Canada"
17, Canada,"University of Victoria, Victoria","British Columbia, Canada"
18, Canada,"York University, Toronto","Ontario, Canada"
19, Canada,"University of Quebec at Montreal, Montreal","Quebec, Canada"
20, Canada,"University of Guelph, Guelph","Ontario, Canada"
21, Canada,"Concordia University, Montreal","Quebec, Canada"
22, Canada,"University of Windsor, Windsor","Ontario, Canada"
23, Canada,"Toronto Metropolitan University, Toronto","Ontario, Canada"
24, Canada,"University of New Brunswick (Fredericton), Fredericton","Newbrunswick, Canada"
25, Canada,"University of Ontario Institute of Technology, Oshawa","Ontario, Canada"
26, Canada,"Lakehead University, Thunder Bay","Ontario, Canada"
27, Canada,"University of Northern British Columbia, Prince George","British Columbia, Canada"
28, Canada,"University of Lethbridge, Lethbridge","Alberta, Canada"
29, Canada,"Memorial University of Newfoundland, St. John's","Newfoundland & Labrador, Canada"
30, Canada,"Carleton University, Ottawa","Ontario, Canada"
31, Canada,"University of Sherbrooke, Sherbrooke","Quebec, Canada"
32, Canada,"University of Regina, Regina","Saskatchewan, Canada"
33, Canada,"Vancouver Island University, Nanaimo","British Columbia, Canada"
34, Canada,"Brock University, St. Catharines","Ontario, Canada"
35, Canada,"St. Thomas University, Fredericton","Newbrunswick, Canada"
36, Canada,"Wilfrid Laurier University, Waterloo","Ontario, Canada"
37, Canada,"Trent University, Peterborough","Ontario, Canada"
38, Canada,"Laurentian University, Sudbury","Ontario, Canada"
39, Canada,"University of Quebec at Trois-Rivieres, Trois-Rivieres","Quebec, Canada"
